gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
mtrC	3.2022285508866997	0.330567	65.02463054187191	3.3699399359550566	0.332197	66.29213483146067	0.07147071599980341	0.6987723538607742	17660.0	0.9996260039675422	False	False	False
tir	0.1766986935960591	0.0256869	77.83251231527095	0.15047519033707865	0.021501	77.52808988764045	-0.14364812142588615	0.7072665803834739	18468.0	0.9996260039675422	False	False	False
pet	4.49896975093596	0.0	23.15270935960591	4.831380039325842	0.0	24.719101123595504	0.10068073052556915	0.7115610036934935	17770.0	0.9996260039675422	False	False	False
merF	2.656453019704434	0.0	8.866995073891626	2.5746212584269665	0.0	7.865168539325842	-0.043478400546494995	0.7119404329658624	18258.0	0.9996260039675422	False	False	False
scn	0.7497505216748769	0.0	17.733990147783253	0.8507882011235954	0.0	19.101123595505616	0.16208465770093927	0.7129234450406187	17800.0	0.9996260039675422	False	False	False
arsH	28.589889625615765	0.0472583	53.69458128078818	26.47239238988764	0.0435273	52.80898876404494	-0.11061429413642562	0.7213331063793904	18430.0	0.9996260039675422	False	False	False
pfoA	4.512938667389163	0.0	21.182266009852217	5.143661934157302	0.0	22.47191011235955	0.1848885653169087	0.7230227107271179	17792.0	0.9996260039675422	False	False	False
ncrA	17.975853203152713	0.0	30.541871921182267	12.823638690112357	0.0	29.213483146067414	-0.48405142337666013	0.7233071458231494	18375.0	0.9996260039675422	False	False	False
fdeC	14.637140519753695	0.0050955	51.724137931034484	16.096566463033707	0.00623042	52.80898876404494	0.1362313839599776	0.7262038829474491	17712.0	0.9996260039675422	False	False	False
ranB	0.15112753793103448	0.0	8.866995073891626	0.13625836404494382	0.0	7.865168539325842	-0.08805483442743893	0.7322645697695054	18244.0	0.9996260039675422	False	False	False
espX1	8.115025357487685	0.0	16.748768472906402	9.232449017977528	0.0	17.97752808988764	0.18399069390543277	0.734879966024573	17827.0	0.9996260039675422	False	False	False
aut	3.6162842638916257	0.538859	77.33990147783251	3.663638548314607	0.530844	75.28089887640449	0.018267221669965132	0.7379085619726127	18424.0	0.9996260039675422	False	False	False
selX	8.402248186206895	0.0	35.960591133004925	7.724403751685394	0.0	34.831460674157306	-0.11986355523624644	0.7398015838165399	18372.0	0.9996260039675422	False	False	False
cytK1	0.12908630866995074	0.0	5.911330049261084	0.14721640820224718	0.0	6.741573033707865	0.10988326207864461	0.7406217791119527	17917.0	0.9996260039675422	False	False	False
capD	0.025002590541871924	0.0	49.75369458128079	0.02359317573033708	0.0	48.31460674157304	-0.016358907283982836	0.7423297945539313	18396.0	0.9996260039675422	False	False	False
sat_auto	15.21744195502463	0.0	21.182266009852217	16.051307944943822	0.0	22.47191011235955	0.07647561589152765	0.7444118571564999	17814.0	0.9996260039675422	False	False	False
rho-3	0.9825652387192119	0.663954	74.8768472906404	1.0122085894382022	0.740824	76.40449438202246	0.03897341521586662	0.7540891474438077	17733.0	0.9996260039675422	False	False	False
splA	10.079982288669951	0.0	39.40886699507389	8.708841256179776	0.0	38.20224719101123	-0.2087108914771609	0.7553371669915544	18361.0	0.9996260039675422	False	False	False
golS	0.7471917640394088	0.0	20.19704433497537	0.604462886516854	0.0	19.101123595505616	-0.26616486177102516	0.7589161702896844	18296.0	0.9996260039675422	False	False	False
lpfA1	3.15763477044335	0.0	24.63054187192118	3.4491455640449438	0.0	25.842696629213485	0.12364688080948	0.764958267831414	17822.0	0.9996260039675422	False	False	False
silP	89.85263473399014	53.3829	100.0	88.67422284269662	50.2638	100.0	-0.019024713477232405	0.7664796260456075	18386.0	0.9996260039675422	False	False	False
cesC	33.948982975369454	33.4671	100.0	33.55013449438202	32.7652	100.0	-0.016999435287504912	0.7664796260456075	18386.0	0.9996260039675422	False	False	False
epsilon-2	0.26210196807881775	0.0	33.004926108374384	0.257155233258427	0.0	34.831460674157306	-0.019844757360089352	0.766481634782633	17798.0	0.9996260039675422	False	False	False
sph	4.299628218719212	0.162565	64.5320197044335	4.329623424719101	0.120821	62.92134831460674	0.009802439249628583	0.7681914242211033	18376.0	0.9996260039675422	False	False	False
