sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N03_1_4	Streptococcus_oralis	False	0	413	gyrA,gyrB,parC,parE
N03_1_4	Streptococcus_pneumoniae	False	0	414	gyrA,gyrB,parC,parE
N03_2_2	Enterococcus_faecalis	False	0	100	gyrA,gyrB,parC,parE
N03_2_2	Enterococcus_faecium	True	1	54	gyrA,gyrB,parC,parE
N03_2_2	Escherichia_coli	False	0	113	gyrA,gyrB,parC,parE
N03_2_2	Klebsiella_oxytoca	False	0	4	gyrA,gyrB,parE
N03_2_2	Klebsiella_pneumoniae	False	0	101	gyrA,gyrB,parE
N03_2_2	Pseudomonas_aeruginosa	False	0	205	gyrA,gyrB,parC,parE
N03_2_2	Staphylococcus_aureus	True	6	323	gyrA,gyrB,parC,parE
N03_2_2	Streptococcus_mitis	False	0	16	gyrA,gyrB,parC,parE
N03_2_2	Streptococcus_oralis	False	0	186	gyrA,gyrB,parC,parE
N03_2_2	Streptococcus_pneumoniae	False	0	160	gyrA,gyrB,parC,parE
N03_2_3	Enterococcus_faecalis	False	0	24	gyrA,gyrB,parC,parE
N03_2_3	Enterococcus_faecium	True	1	39	gyrA,gyrB,parC,parE
N03_2_3	Escherichia_coli	False	0	7	gyrA,gyrB,parC
N03_2_3	Klebsiella_oxytoca	False	0	1	gyrA,gyrB,parC
N03_2_3	Klebsiella_pneumoniae	False	0	2	gyrA,gyrB
N03_2_3	Pseudomonas_aeruginosa	False	0	20	gyrA,gyrB,parC,parE
N03_2_3	Staphylococcus_aureus	False	0	117	gyrA,gyrB,parC,parE
N03_2_3	Streptococcus_mitis	False	0	8	gyrA,gyrB,parC,parE
N03_2_3	Streptococcus_oralis	False	0	31	gyrA,gyrB,parC,parE
N03_2_3	Streptococcus_pneumoniae	False	0	30	gyrA,gyrB,parC,parE
N03_2_4	Enterococcus_faecalis	True	1	792	gyrA,gyrB,parC,parE
N03_2_4	Enterococcus_faecium	True	3	1950	gyrA,gyrB,parC,parE
N03_2_4	Escherichia_coli	False	0	395	gyrA,gyrB,parC,parE
N03_2_4	Klebsiella_oxytoca	False	0	225	gyrA,gyrB,parC,parE
N03_2_4	Klebsiella_pneumoniae	True	1	193	gyrA,gyrB,parE
N03_2_4	Pseudomonas_aeruginosa	True	10	306	gyrA,gyrB,parC,parE
N03_2_4	Staphylococcus_aureus	True	3	981	gyrA,gyrB,parC,parE
N03_2_4	Streptococcus_mitis	False	0	366	gyrA,gyrB,parC,parE
N03_2_4	Streptococcus_oralis	False	0	580	gyrA,gyrB,parC,parE
N03_2_4	Streptococcus_pneumoniae	False	0	474	gyrA,gyrB,parC,parE
N04_1_2	Enterococcus_faecalis	False	0	15	gyrA,gyrB,parC,parE
N04_1_2	Enterococcus_faecium	False	0	16	gyrA,gyrB,parC,parE
N04_1_2	Escherichia_coli	False	0	32	gyrA,gyrB,parE
N04_1_2	Klebsiella_oxytoca	False	0	0	gyrA,gyrB
N04_1_2	Klebsiella_pneumoniae	False	0	8	gyrA,gyrB
N04_1_2	Pseudomonas_aeruginosa	False	0	19	gyrA,gyrB,parC,parE
N04_1_2	Staphylococcus_aureus	True	42	424	gyrA,gyrB,parC,parE
N04_1_2	Streptococcus_mitis	True	1	5	gyrA,gyrB,parC,parE
N04_1_2	Streptococcus_oralis	True	1	17	gyrA,gyrB,parC,parE
N04_1_2	Streptococcus_pneumoniae	False	0	22	gyrA,gyrB,parC,parE
N04_1_3	Enterococcus_faecalis	False	0	158	gyrA,gyrB,parC,parE
N04_1_3	Enterococcus_faecium	True	1	174	gyrA,gyrB,parC,parE
N04_1_3	Escherichia_coli	True	1	114	gyrA,gyrB,parC,parE
N04_1_3	Klebsiella_oxytoca	False	0	53	gyrA,gyrB,parC,parE
N04_1_3	Klebsiella_pneumoniae	True	1	62	gyrA,gyrB,parE
N04_1_3	Pseudomonas_aeruginosa	True	2	110	gyrA,gyrB,parC,parE
N04_1_3	Staphylococcus_aureus	True	9	418	gyrA,gyrB,parC,parE
N04_1_3	Streptococcus_mitis	False	0	28	gyrA,gyrB,parC,parE
N04_1_3	Streptococcus_oralis	False	0	106	gyrA,gyrB,parC,parE
