sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
N01_1_2	97	96	1	96	1	18867	14	165.61104774	0.0850192	33	17	0.0850192	0.0
N01_1_3	135	134	1	134	1	18423	7	157.73941759	0.0364513	56	19	0.0364513	0.0
N01_1_4	133	132	1	132	1	309312	195	2426.95229683	1.01238	92	17	1.01238	0.0
N01_2_2	130	129	1	129	1	73667	69	737.4780004400001	0.473973	67	20	0.473973	0.0
N01_2_3	160	158	2	158	2	131104	48	1081.0418055300001	0.2918328	105	19	0.276664	0.0
N01_2_4	179	176	3	176	3	415079	11	4014.3177633200003	0.0732997	120	21	0.0	0.0
N02_1_2	130	129	1	129	1	30840	60	333.82678983	0.385031	66	19	0.385031	0.0
N02_1_3	73	72	1	72	1	3462	2	47.83215940999998	0.0170559	16	14	0.0170559	0.0
N02_1_4	78	75	3	75	3	100525	82	619.50309264	0.4567367	33	16	0.347947	0.0
N02_2_2	169	168	1	168	1	21593	7	250.08001927	0.0518039	97	21	0.0518039	0.0
N02_2_3	162	161	1	161	1	60248	2	480.65159825	0.0129662	88	19	0.0129662	0.0
N02_2_4	163	161	2	161	2	338392	14	2384.6549954800003	0.0763811	110	22	0.0239658	0.0
N03_1_4	82	81	1	81	1	93147	26	563.08441332	0.140449	38	16	0.140449	0.0
N03_2_2	103	103	0	103	0	12793	0	184.96534477999998	0.0	46	20	0.0	0.0
N03_2_3	114	113	1	113	1	5992	6	63.8487861	0.0445489	56	18	0.0445489	0.0
N03_2_4	123	122	1	122	1	84856	2	804.86079931	0.0160811	77	18	0.0160811	0.0
N04_1_2	124	123	1	123	1	25925	2	441.9651423600001	0.0398319	60	22	0.0	0.0
N04_1_3	137	137	0	137	0	21321	0	1007.0854406999999	0.0	90	21	0.0	0.0
N04_1_4	92	91	1	91	1	66759	4	1024.15102491	0.432427	45	19	0.0	0.0
N04_2_2	119	119	0	119	0	14447	0	325.1930898099999	0.0	44	20	0.0	0.0
N04_2_3	117	116	1	116	1	25344	2	472.84389293	0.0374107	44	18	0.0	0.0
N04_2_4	88	88	0	88	0	75010	0	1148.50300087	0.0	38	15	0.0	0.0
N05_1_2	114	113	1	113	1	19320	4	529.72252202	0.0712189	39	18	0.0712189	0.0
N05_1_3	95	95	0	95	0	9921	0	434.92882606000006	0.0	29	14	0.0	0.0
N05_1_4	82	81	1	81	1	83267	2	1015.2040971	0.0206558	46	14	0.0206558	0.0
N05_2_2	136	136	0	136	0	29304	0	498.63915297000005	0.0	60	20	0.0	0.0
N05_2_3	165	164	1	164	1	99529	2	1247.54737705	0.0210092	92	22	0.0210092	0.0
N05_2_4	133	133	0	133	0	96620	0	1492.50122001	0.0	83	19	0.0	0.0
N06_1_2	115	114	1	114	1	71689	78	919.4988217999999	0.652905	50	21	0.652905	0.0
N06_1_3	134	133	1	133	1	62606	1	1184.2229997000002	0.013708	79	19	0.0	0.0
N06_1_4	123	122	1	122	1	115332	4	2639.60971967	0.0759231	78	17	0.0759231	0.0
N07_1_2	76	76	0	76	0	19144	0	684.5381521000002	0.0	31	17	0.0	0.0
N07_1_3	112	111	1	111	1	36196	14	830.2312926400001	0.208505	44	17	0.208505	0.0
N07_1_4	66	65	1	65	1	44345	2	1024.3157371	0.0349564	32	14	0.0349564	0.0
N07_2_2	109	108	1	108	1	12463	2	370.60295947	0.035674	35	19	0.035674	0.0
N07_2_3	157	156	1	156	1	135978	2	3492.7636008700006	0.0313189	99	20	0.0313189	0.0
N07_2_4	143	143	0	143	0	205152	0	10239.08916705	0.0	84	20	0.0	0.0
N08_1_2	116	115	1	115	1	70024	42	895.5941268800002	0.361656	45	20	0.361656	0.0
N08_1_3	114	114	0	114	0	34809	0	708.3301164200001	0.0	50	19	0.0	0.0
N08_1_4	69	68	1	68	1	96111	12	1389.99538329	0.134885	32	14	0.134885	0.0
N08_2_2	123	122	1	122	1	37172	6	586.23496227	0.0727402	81	18	0.0727402	0.0
N08_2_3	124	124	0	124	0	47779	0	748.6301394300001	0.0	71	17	0.0	0.0
N08_2_4	123	123	0	123	0	218794	0	5442.615252999999	0.0	86	19	0.0	0.0
N09_1_2	100	99	1	99	1	27989	8	921.9750436600001	0.150407	51	15	0.150407	0.0
N09_1_3	126	126	0	126	0	17697	0	396.07286758	0.0	57	19	0.0	0.0
N09_1_4	49	49	0	49	0	15236	0	334.9469435799999	0.0	4	10	0.0	0.0
N09_2_2	105	104	1	104	1	17440	2	345.430588	0.0244335	40	17	0.0244335	0.0
N09_2_3	78	78	0	78	0	16571	0	331.12725256000016	0.0	14	13	0.0	0.0
N09_2_4	130	129	1	129	1	247494	3	6466.41913946	0.0535865	84	17	0.0	0.0
N10_1_2	114	113	1	113	1	17734	4	472.12293386	0.0651824	36	19	0.0651824	0.0
N10_1_3	148	145	3	145	3	105456	15	1409.07204417	0.1788919	84	21	0.147071	0.0
N10_1_4	106	104	2	104	2	89297	54	1890.7293714000002	0.9181711	51	14	0.895561	0.0
N10_2_2	94	93	1	93	1	22533	2	369.48867225	0.0216319	40	18	0.0216319	0.0
N10_2_3	125	124	1	124	1	71139	2	937.5351990699999	0.0239916	57	16	0.0239916	0.0
N10_2_4	96	96	0	96	0	54263	0	1237.2083279	0.0	40	15	0.0	0.0
N11_1_2	132	132	0	132	0	38507	0	609.45169971	0.0	69	21	0.0	0.0
N11_1_3	80	80	0	80	0	14232	0	413.83481631999996	0.0	22	16	0.0	0.0
N11_1_4	76	75	1	75	1	94533	22	1813.0081731999999	0.300751	37	14	0.300751	0.0
N11_2_2	129	128	1	128	1	45260	6	662.0351664500001	0.063285	62	18	0.063285	0.0
N11_2_3	163	163	0	163	0	67291	0	2623.11168686	0.0	104	20	0.0	0.0
N11_2_4	156	156	0	156	0	167826	0	4898.6499148	0.0	103	19	0.0	0.0
N12_1_2	143	142	1	142	1	91467	2	1654.14594764	0.0216165	68	22	0.0216165	0.0
N12_1_3	132	132	0	132	0	54422	0	843.0837333300001	0.0	86	22	0.0	0.0
N12_1_4	131	131	0	131	0	54161	0	857.53790284	0.0	78	19	0.0	0.0
N13_1_2	60	60	0	60	0	15465	0	397.32244949	0.0	15	17	0.0	0.0
N13_1_3	161	160	1	160	1	22772	2	375.58410299999997	0.0342431	80	21	0.0	0.0
N13_1_4	71	71	0	71	0	33385	0	602.42612911	0.0	31	14	0.0	0.0
N13_2_2	147	147	0	147	0	54486	0	849.0591102400001	0.0	91	21	0.0	0.0
N13_2_3	124	124	0	124	0	15880	0	412.0020937200001	0.0	57	17	0.0	0.0
N13_2_4	138	134	4	134	4	329331	7	4133.91474532	0.07153222000000001	78	18	0.0	0.0
N14_1_2	124	123	1	123	1	24400	3	427.08669430000003	0.0299798	58	20	0.0299798	0.0
N14_1_3	114	114	0	114	0	11891	0	261.5884522	0.0	46	15	0.0	0.0
N14_1_4	125	125	0	125	0	19722	0	653.04163716	0.0	72	16	0.0	0.0
N14_2_2	158	158	0	158	0	22821	0	269.19297783	0.0	71	23	0.0	0.0
N14_2_3	178	178	0	178	0	37438	0	644.01326695	0.0	116	23	0.0	0.0
N14_2_4	153	153	0	153	0	49120	0	1217.264295	0.0	111	19	0.0	0.0
N15_1_2	139	138	1	138	1	36049	8	520.58477563	0.0762671	65	21	0.0762671	0.0
N15_1_3	150	150	0	150	0	19882	0	408.12624302000006	0.0	58	21	0.0	0.0
N15_1_4	174	173	1	173	1	115064	2	2233.24113232	0.0301411	113	21	0.0301411	0.0
N15_2_2	124	124	0	124	0	9517	0	297.56993489999996	0.0	40	18	0.0	0.0
N15_2_3	164	164	0	164	0	216112	0	3906.0509646399996	0.0	105	19	0.0	0.0
N15_2_4	147	147	0	147	0	84323	0	3950.9480544	0.0	98	19	0.0	0.0
N16_1_2	99	99	0	99	0	20340	0	460.22028024	0.0	37	17	0.0	0.0
N16_1_3	139	139	0	139	0	26246	0	786.3681381900001	0.0	86	19	0.0	0.0
N16_1_4	140	139	1	139	1	87332	4	1848.8103317900002	0.0642735	90	17	0.0642735	0.0
N16_2_2	136	136	0	136	0	29840	0	450.89429358999996	0.0	52	20	0.0	0.0
N16_2_3	171	170	1	170	1	188316	2	3043.51647624	0.0379703	117	20	0.0	0.0
N16_2_4	159	159	0	159	0	166372	0	3555.6870177	0.0	110	18	0.0	0.0
N17_1_2	134	134	0	134	0	26596	0	529.49924736	0.0	71	19	0.0	0.0
N17_1_3	151	147	4	147	4	140173	6	1787.47324003	0.09922598999999999	91	20	0.0	0.0
N17_1_4	132	130	2	130	2	239698	6	3835.49527779	0.07865349	75	19	0.0706505	0.0
N17_2_2	145	145	0	145	0	7147	0	405.49992977	0.0	66	20	0.0	0.0
N17_2_3	152	151	1	151	1	25241	3	1763.355048	0.147559	91	20	0.147559	0.0
N17_2_4	119	119	0	119	0	6576	0	3754.3482513999998	0.0	74	17	0.0	0.0
N18_1_2	87	87	0	87	0	16286	0	276.90347248	0.0	30	18	0.0	0.0
N18_1_3	103	103	0	103	0	13399	0	176.81484572	0.0	25	19	0.0	0.0
N18_1_4	91	90	1	90	1	146654	11	2020.11492826	0.119829	43	17	0.119829	0.0
N18_2_2	125	124	1	124	1	25761	6	555.16744146	0.0880573	56	21	0.0880573	0.0
N18_2_3	91	91	0	91	0	5720	0	274.52709269999997	0.0	29	13	0.0	0.0
N18_2_4	117	117	0	117	0	4286	0	2167.521371	0.0	67	18	0.0	0.0
N19_1_2	125	123	2	123	2	52071	4	921.25814151	0.0709988	60	20	0.0238814	0.0471174
N19_1_3	144	143	1	143	1	85224	2	2262.38729988	0.0338776	83	20	0.0338776	0.0
N19_1_4	143	143	0	143	0	209887	0	5604.672773480001	0.0	93	19	0.0	0.0
N19_2_2	130	129	1	129	1	32264	5	401.80919906	0.0427871	56	19	0.0427871	0.0
N19_2_3	163	162	1	162	1	67531	28	1323.3517882800002	0.342278	105	20	0.342278	0.0
N19_2_4	149	149	0	149	0	22636	0	2711.0097285	0.0	95	21	0.0	0.0
N20_1_2	55	55	0	55	0	10748	0	165.17585098	0.0	11	13	0.0	0.0
N20_1_3	136	135	1	135	1	45426	6	602.6957161	0.0505177	68	20	0.0505177	0.0
N20_1_4	144	143	1	143	1	150462	169	1915.3162059099996	1.4162	64	19	1.4162	0.0
N20_2_2	118	117	1	117	1	20443	2	318.5897249100001	0.0213136	47	18	0.0213136	0.0
N20_2_3	64	64	0	64	0	3810	0	220.82366764	0.0	11	10	0.0	0.0
N20_2_4	111	111	0	111	0	32403	0	4167.1208068000005	0.0	67	15	0.0	0.0
N21_1_2	157	156	1	156	1	59814	1	851.8777428999999	0.010585	91	20	0.010585	0.0
N21_1_3	190	187	3	187	3	271596	12	3416.07444388	0.15483750000000002	127	21	0.0890334	0.0
N21_1_4	146	145	1	145	1	99142	2	4516.1463452	0.123032	97	15	0.0	0.0
N21_2_2	159	158	1	158	1	34291	1	754.0931056900001	0.0171414	93	21	0.0171414	0.0
N21_2_3	135	135	0	135	0	77427	0	6055.038604099999	0.0	84	14	0.0	0.0
N21_2_4	151	151	0	151	0	127103	0	5667.156126899999	0.0	93	16	0.0	0.0
N22_1_2	128	128	0	128	0	19109	0	433.67080161000007	0.0	56	15	0.0	0.0
N22_1_3	150	150	0	150	0	55173	0	588.3632739299999	0.0	83	20	0.0	0.0
N22_1_4	109	107	2	107	2	240526	6	4456.211703499999	0.0924139	63	15	0.0	0.0
N22_2_2	136	135	1	135	1	25789	24	702.09984351	0.43264	70	20	0.43264	0.0
N22_2_3	159	158	1	158	1	132638	2	3048.32467247	0.0364687	96	19	0.0364687	0.0
N22_2_4	141	141	0	141	0	26451	0	3321.2466571	0.0	82	15	0.0	0.0
N23_1_4	59	58	1	58	1	26479	27	1549.8452403000001	0.954032	34	14	0.954032	0.0
N23_2_2	143	142	1	142	1	69212	5	1106.9175433200003	0.0567519	83	20	0.0567519	0.0
N23_2_3	171	170	1	170	1	206533	2	1789.59244373	0.0127636	92	21	0.0127636	0.0
N23_2_4	120	119	1	119	1	128241	2	4106.2627394	0.0436199	70	17	0.0	0.0
N24_1_2	63	63	0	63	0	13032	0	237.14799078000004	0.0	18	15	0.0	0.0
N24_1_3	119	119	0	119	0	16805	0	327.94529402999996	0.0	64	18	0.0	0.0
N24_1_4	137	135	2	135	2	183285	6	3463.3956949600006	0.0829819	88	18	0.0301789	0.0
N24_2_3	155	153	2	153	2	272821	6	4068.0094354199996	0.0615837	100	20	0.0480018	0.0
N24_2_4	140	140	0	140	0	42318	0	3156.9929875999997	0.0	77	18	0.0	0.0
N25_1_2	150	149	1	149	1	42796	13	608.17542681	0.119276	82	19	0.119276	0.0
N25_1_3	123	123	0	123	0	15062	0	391.70688938999996	0.0	55	18	0.0	0.0
N25_1_4	132	132	0	132	0	196572	0	5190.0170058	0.0	90	18	0.0	0.0
N25_2_2	160	159	1	159	1	49569	1	791.14882055	0.0123107	98	20	0.0123107	0.0
N25_2_3	72	72	0	72	0	8135	0	243.78597596	0.0	7	15	0.0	0.0
N25_2_4	122	122	0	122	0	60679	0	3138.1206474	0.0	78	17	0.0	0.0
N26_1_4	111	110	1	110	1	17738	2	1277.7131315000001	0.114444	65	18	0.114444	0.0
N27_1_2	149	147	2	147	2	49589	3	613.24198223	0.033757800000000004	76	20	0.0169937	0.0167641
N27_1_3	154	154	0	154	0	43778	0	549.5758043599999	0.0	91	19	0.0	0.0
N27_1_4	101	101	0	101	0	47549	0	3124.5750538	0.0	58	12	0.0	0.0
N27_2_3	148	148	0	148	0	204994	0	2262.52145753	0.0	93	21	0.0	0.0
N27_2_4	130	130	0	130	0	37558	0	2686.1511511	0.0	79	16	0.0	0.0
N28_1_2	113	112	1	112	1	11620	3	664.3570554	0.120393	72	16	0.120393	0.0
N28_1_3	78	78	0	78	0	3688	0	246.26111459999996	0.0	17	13	0.0	0.0
N28_1_4	113	112	1	112	1	64591	2	3780.2823251000004	0.0767706	63	13	0.0	0.0
N28_2_3	158	157	1	157	1	497445	20	3821.8207875400003	0.114294	102	22	0.114294	0.0
N28_2_4	110	109	1	109	1	48218	2	5521.838014599999	0.149329	70	16	0.0	0.0
N29_1_2	62	62	0	62	0	6073	0	222.86313400999995	0.0	15	14	0.0	0.0
N29_1_3	137	136	1	136	1	16691	1	349.91077762	0.0225669	68	21	0.0	0.0
N29_1_4	136	134	2	134	2	30392	9	1088.9625868	0.22800130000000002	71	18	0.199244	0.0
N29_2_2	138	138	0	138	0	59770	0	865.2267318300001	0.0	65	21	0.0	0.0
N29_2_3	178	177	1	177	1	75679	4	696.7914641	0.0242755	102	20	0.0242755	0.0
N29_2_4	159	159	0	159	0	22668	0	1303.2920828	0.0	102	19	0.0	0.0
N30_1_2	46	46	0	46	0	3076	0	450.205522	0.0	16	12	0.0	0.0
N30_1_3	68	68	0	68	0	16419	0	1018.1246003999998	0.0	26	14	0.0	0.0
N30_1_4	67	67	0	67	0	6434	0	608.134541	0.0	30	15	0.0	0.0
N30_2_2	105	105	0	105	0	40258	0	552.49606946	0.0	36	19	0.0	0.0
N30_2_4	101	100	1	100	1	37861	12	1221.8680134800004	0.281423	51	16	0.281423	0.0
N31_1_2	116	115	1	115	1	84823	16	1050.1530809399999	0.132669	40	18	0.132669	0.0
N31_1_3	135	135	0	135	0	34357	0	448.13341369	0.0	42	20	0.0	0.0
N31_1_4	155	155	0	155	0	31304	0	4959.8719335000005	0.0	106	22	0.0	0.0
N31_2_2	142	142	0	142	0	126422	0	982.61276762	0.0	93	18	0.0	0.0
N31_2_4	173	173	0	173	0	560296	0	4717.13346045	0.0	108	19	0.0	0.0
N32_1_2	53	53	0	53	0	2087	0	764.2585250000001	0.0	18	14	0.0	0.0
N32_1_3	116	115	1	115	1	55854	3	764.2495644100001	0.0253439	34	16	0.0253439	0.0
N32_1_4	125	125	0	125	0	12236	0	955.5306838299998	0.0	77	18	0.0	0.0
N32_2_3	167	165	2	165	2	177830	5	1994.9111160100001	0.0394227	104	22	0.0249003	0.0
N32_2_4	164	164	0	164	0	221921	0	6488.4326045	0.0	108	21	0.0	0.0
N33_1_3	136	135	1	135	1	58070	5	1542.21032613	0.0969782	81	18	0.0969782	0.0
N33_1_4	64	64	0	64	0	6898	0	436.65821145	0.0	6	12	0.0	0.0
N33_2_3	127	127	0	127	0	43976	0	2413.6244176000005	0.0	69	17	0.0	0.0
N33_2_4	104	104	0	104	0	164883	0	8516.2515232	0.0	63	13	0.0	0.0
N34_1_2	52	52	0	52	0	2885	0	356.98382380000015	0.0	5	11	0.0	0.0
N34_1_3	50	50	0	50	0	3716	0	332.16407430000004	0.0	1	9	0.0	0.0
N34_1_4	86	86	0	86	0	17739	0	514.2404525100002	0.0	19	15	0.0	0.0
N34_2_2	136	135	1	135	1	47077	6	556.8643234200001	0.0434346	42	20	0.0434346	0.0
N34_2_3	172	171	1	171	1	73294	2	955.73631835	0.018472	92	21	0.018472	0.0
N35_1_2	86	85	1	85	1	14698	4	1421.1932556999998	0.230528	29	17	0.230528	0.0
N35_1_3	54	54	0	54	0	7480	0	333.7611126	0.0	13	12	0.0	0.0
N35_1_4	95	94	1	94	1	94965	31	2581.86798504	0.536959	58	16	0.536959	0.0
N35_2_2	140	140	0	140	0	30288	0	383.39332463000005	0.0	42	17	0.0	0.0
N35_2_3	147	147	0	147	0	39591	0	679.6126843	0.0	76	21	0.0	0.0
N36_1_2	75	74	1	74	1	9185	3	956.8603337999998	0.183151	27	16	0.183151	0.0
N36_1_3	78	78	0	78	0	3525	0	548.4919814	0.0	29	17	0.0	0.0
N36_1_4	115	114	1	114	1	120245	11	3357.3472002999997	0.255971	69	16	0.255971	0.0
N36_2_2	129	128	1	128	1	39145	1	546.20993851	0.00860268	41	20	0.00860268	0.0
N36_2_3	140	140	0	140	0	265342	0	2680.12881613	0.0	83	19	0.0	0.0
N37_1_2	108	108	0	108	0	32225	0	414.48815378000006	0.0	31	18	0.0	0.0
N37_1_3	103	103	0	103	0	26925	0	385.30495188	0.0	30	17	0.0	0.0
N38_1_2	154	154	0	154	0	37939	0	973.1037728900001	0.0	98	22	0.0	0.0
N38_1_3	119	119	0	119	0	30621	0	836.2933284	0.0	58	18	0.0	0.0
N38_1_4	87	86	1	86	1	19013	16	2825.7636199999997	1.36138	30	13	1.36138	0.0
N38_2_2	148	148	0	148	0	50802	0	597.4556924900002	0.0	65	21	0.0	0.0
N38_2_3	115	115	0	115	0	29519	0	3048.8545874	0.0	77	18	0.0	0.0
N38_2_4	116	116	0	116	0	304055	0	3502.19644882	0.0	79	15	0.0	0.0
N39_1_2	141	141	0	141	0	85171	0	590.6161651599999	0.0	49	20	0.0	0.0
N39_1_3	150	150	0	150	0	26848	0	890.0160097	0.0	78	19	0.0	0.0
N39_1_4	131	131	0	131	0	646556	0	5018.493341540001	0.0	68	14	0.0	0.0
N39_2_2	181	181	0	181	0	38899	0	739.6611471800001	0.0	114	21	0.0	0.0
N39_2_3	182	181	1	181	1	631320	3	9096.27047415	0.0302839	119	21	0.0302839	0.0
N39_2_4	151	151	0	151	0	853411	0	8450.394886099999	0.0	105	18	0.0	0.0
N40_1_2	116	115	1	115	1	72370	2	690.42152217	0.0115119	39	18	0.0115119	0.0
N40_1_3	127	127	0	127	0	59965	0	397.49568953	0.0	41	16	0.0	0.0
N40_1_4	165	164	1	164	1	668995	3	5164.40847961	0.0130584	98	20	0.0130584	0.0
N40_2_2	142	141	1	141	1	117704	10	1791.81758746	0.100845	75	21	0.100845	0.0
N40_2_3	153	153	0	153	0	300146	0	3213.15629292	0.0	90	23	0.0	0.0
N41_1_2	132	132	0	132	0	20305	0	563.9848834	0.0	54	16	0.0	0.0
N41_1_3	158	158	0	158	0	879573	0	8243.771655019998	0.0	98	19	0.0	0.0
N41_1_4	140	140	0	140	0	1087604	0	8772.38213057	0.0	83	15	0.0	0.0
N41_2_2	151	150	1	150	1	34450	5	748.6913523800001	0.0712736	74	20	0.0712736	0.0
N41_2_3	182	182	0	182	0	755416	0	7842.795570620001	0.0	119	22	0.0	0.0
N42_1_2	134	134	0	134	0	79791	0	652.244931729	0.0	35	17	0.0	0.0
N42_1_4	164	163	1	163	1	302415	89	2400.2631177399994	0.415105	67	19	0.415105	0.0
N42_2_2	136	135	1	135	1	125101	20	1597.04440966	0.166388	64	19	0.166388	0.0
N42_2_3	156	154	2	154	2	404675	6	3693.5789487	0.0717363	101	21	0.0237416	0.0
N43_1_2	147	147	0	147	0	35075	0	522.6175878900001	0.0	64	19	0.0	0.0
N43_1_3	163	163	0	163	0	94569	0	1107.5082123999998	0.0	90	17	0.0	0.0
N43_2_2	165	164	1	164	1	158828	7	2258.18781801	0.078011	99	23	0.078011	0.0
N43_2_3	197	196	1	196	1	328384	2	3598.0365089999996	0.0200494	143	21	0.0200494	0.0
N44_1_2	103	102	1	102	1	154675	27	2161.07002676	0.24567	34	16	0.24567	0.0
N44_1_3	80	80	0	80	0	13796	0	257.84450513	0.0	15	16	0.0	0.0
N44_2_2	163	162	1	162	1	86779	10	1142.05012434	0.0907554	91	21	0.0907554	0.0
N44_2_3	153	153	0	153	0	29403	0	513.62965375	0.0	88	21	0.0	0.0
N45_1_2	159	159	0	159	0	86646	0	891.87041995	0.0	60	20	0.0	0.0
N45_1_3	158	156	2	156	2	262213	4	3760.88954405	0.0617169	81	19	0.0417228	0.0
N45_1_4	160	160	0	160	0	211623	0	4584.29343807	0.0	89	20	0.0	0.0
N45_2_2	159	159	0	159	0	71432	0	974.53907727	0.0	91	22	0.0	0.0
N45_2_3	163	163	0	163	0	123594	0	1874.4684810800002	0.0	97	21	0.0	0.0
N46_1_2	129	128	1	128	1	92526	24	1394.2092441900002	0.233371	57	19	0.233371	0.0
N46_1_3	122	120	2	120	2	30452	3	444.72902165999994	0.02402578	30	18	0.017435	0.0
N46_2_2	187	186	1	186	1	61926	12	720.8138763200001	0.0926792	94	24	0.0926792	0.0
N46_2_3	184	183	1	183	1	382415	21	2767.5051799799994	0.124193	118	24	0.124193	0.0
N46_2_4	140	139	1	139	1	302212	1	3000.2184851599995	0.00873064	88	18	0.00873064	0.0
N47_1_2	161	161	0	161	0	56980	0	631.1734458000001	0.0	71	23	0.0	0.0
N47_1_3	173	172	1	172	1	105840	17	1143.7876326	0.118933	80	21	0.118933	0.0
N47_2_2	142	141	1	141	1	48221	2	629.92025182	0.0170384	59	22	0.0170384	0.0
N47_2_3	186	185	1	185	1	208900	5	2262.3800137400003	0.0384288	120	22	0.0384288	0.0
N47_2_4	160	160	0	160	0	288441	0	3823.6439724399997	0.0	105	20	0.0	0.0
N48_1_2	160	159	1	159	1	178264	29	1934.5067903899999	0.197045	63	22	0.197045	0.0
N48_1_3	164	163	1	163	1	112490	26	1709.80663757	0.255119	86	21	0.255119	0.0
N48_2_2	133	132	1	132	1	121756	12	1366.62950678	0.0933744	53	20	0.0933744	0.0
