sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
N68_1_3	95	94	1	94	1	52498	1	1251.48163446	0.014575	38	17	0.014575	0.0
N68_1_4	135	135	0	135	0	116686	0	977.872819511	0.0	35	17	0.0	0.0
N68_2_2	72	72	0	72	0	6919	0	271.68367329999995	0.0	26	15	0.0	0.0
N68_2_3	91	91	0	91	0	6798	0	243.39392949	0.0	26	15	0.0	0.0
N68_2_4	59	59	0	59	0	36844	0	1533.3356021	0.0	34	14	0.0	0.0
ZJH_N01_1_2	114	114	0	114	0	38510	0	463.74978097000013	0.0	9	18	0.0	0.0
ZJH_N01_1_3	39	39	0	39	0	3635	0	255.28899899999996	0.0	1	9	0.0	0.0
ZJH_N01_1_4	141	141	0	141	0	450736	0	7318.59303327	0.0	44	21	0.0	0.0
ZJH_N01_2_2	140	139	1	139	1	15816	1	542.0588481000001	0.0456177	49	20	0.0	0.0
ZJH_N01_2_3	175	174	1	174	1	519091	1	3062.56356795	0.0108057	102	18	0.0	0.0
ZJH_N01_2_4	153	153	0	153	0	762602	0	5981.111235169999	0.0	113	19	0.0	0.0
ZJH_N02_1_2	133	133	0	133	0	27049	0	335.4337772900001	0.0	46	19	0.0	0.0
ZJH_N02_1_3	140	140	0	140	0	595465	0	7429.338091930001	0.0	41	18	0.0	0.0
ZJH_N02_1_4	126	126	0	126	0	61693	0	965.8578800700001	0.0	37	17	0.0	0.0
ZJH_N02_2_2	146	145	1	145	1	1120979	1	16436.310825090004	0.0193672	62	18	0.0	0.0
ZJH_N02_2_3	87	87	0	87	0	266863	0	8304.711252460002	0.0	22	16	0.0	0.0
ZJH_N02_2_4	127	125	2	125	2	229137	12	3092.3265296799996	0.1197004	61	19	0.0722106	0.0474898
ZJH_N03_1_2	136	136	0	136	0	1290185	0	15263.334620560001	0.0	54	21	0.0	0.0
ZJH_N03_1_3	159	159	0	159	0	1972630	0	24854.634367750004	0.0	87	20	0.0	0.0
ZJH_N03_2_2	137	137	0	137	0	1134975	0	15612.28692157	0.0	55	20	0.0	0.0
ZJH_N03_2_4	138	138	0	138	0	439641	0	3804.9277395300005	0.0	80	18	0.0	0.0
ZJH_N04_1_2	68	68	0	68	0	38022	0	674.4962934399999	0.0	22	14	0.0	0.0
ZJH_N04_1_3	78	78	0	78	0	5673	0	178.65467847	0.0	15	14	0.0	0.0
ZJH_N04_1_4	90	90	0	90	0	143111	0	1667.75953578	0.0	35	18	0.0	0.0
ZJH_N04_2_2	63	63	0	63	0	14271	0	223.43377751999995	0.0	18	13	0.0	0.0
ZJH_N04_2_3	147	147	0	147	0	133096	0	3155.4342162499997	0.0	92	19	0.0	0.0
ZJH_N04_2_4	137	136	1	136	1	1243027	1	7120.96827236	0.00650542	84	17	0.0	0.0
ZJH_N05_1_2	87	86	1	86	1	59729	2	1422.56377402	0.033757	26	16	0.033757	0.0
ZJH_N05_1_4	144	144	0	144	0	99709	0	1189.4648285000003	0.0	74	17	0.0	0.0
ZJH_N05_2_2	86	86	0	86	0	37113	0	538.10302225	0.0	21	15	0.0	0.0
ZJH_N05_2_3	103	102	1	102	1	32140	1	1137.4254548	0.0238088	43	20	0.0238088	0.0
ZJH_N05_2_4	90	90	0	90	0	263100	0	2264.10315007	0.0	37	19	0.0	0.0
ZJH_N06_1_2	138	138	0	138	0	8562	0	271.24509129	0.0	49	17	0.0	0.0
ZJH_N06_1_3	75	75	0	75	0	8249	0	221.17511298999997	0.0	3	11	0.0	0.0
ZJH_N06_1_4	79	79	0	79	0	30792	0	330.7604252000001	0.0	1	12	0.0	0.0
ZJH_N06_2_2	89	89	0	89	0	17464	0	290.05697003	0.0	30	18	0.0	0.0
ZJH_N06_2_3	99	99	0	99	0	5895	0	234.6158306	0.0	23	17	0.0	0.0
ZJH_N06_2_4	84	84	0	84	0	185930	0	2634.0453254099994	0.0	38	18	0.0	0.0
ZJH_N07_1_2	61	59	2	59	2	27661	2	461.98528769	0.0335224	26	14	0.0112757	0.0222467
ZJH_N07_1_3	76	76	0	76	0	9536	0	224.07101276	0.0	5	14	0.0	0.0
ZJH_N07_1_4	77	77	0	77	0	24138	0	272.80130303000004	0.0	2	9	0.0	0.0
ZJH_N07_2_3	130	130	0	130	0	217521	0	3884.47504626	0.0	80	16	0.0	0.0
ZJH_N07_2_4	116	116	0	116	0	544258	0	4142.419887360001	0.0	62	15	0.0	0.0
ZJH_N08_1_2	94	94	0	94	0	38992	0	363.63292442999995	0.0	27	14	0.0	0.0
ZJH_N08_1_3	121	121	0	121	0	10712	0	346.09251149999994	0.0	57	16	0.0	0.0
ZJH_N08_1_4	85	85	0	85	0	32160	0	462.8425466199999	0.0	2	13	0.0	0.0
ZJH_N08_2_2	101	101	0	101	0	28709	0	543.0211527	0.0	22	14	0.0	0.0
ZJH_N08_2_3	127	127	0	127	0	6855	0	520.4462196999999	0.0	60	18	0.0	0.0
ZJH_N08_2_4	99	98	1	98	1	151312	17	2303.4690049200003	0.142737	30	17	0.142737	0.0
ZJH_N09_1_2	71	71	0	71	0	10839	0	168.06622146000004	0.0	5	12	0.0	0.0
ZJH_N09_1_3	118	118	0	118	0	14976	0	167.51744372	0.0	25	16	0.0	0.0
