sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
N41_2_2	soxS	soxS	STRESS	5	3.04414	5.0	83.4454	0.0712736	Coverage	LOW
N42_1_4	soxS	soxS	STRESS	89	3.04414	89.0	155.409	0.415105	Coverage	LOW
N42_2_2	soxS	soxS	STRESS	20	3.04414	20.0	87.8943	0.166388	Coverage	LOW
N42_2_3	proV	proV	STRESS	3	6.46154	2.85714	10.7331	0.0479947	Coverage	LOW
N42_2_3	soxS	soxS	STRESS	3	3.04414	3.0	5.30936	0.0237416	Coverage	LOW
N43_2_2	soxS	soxS	STRESS	7	3.04414	7.0	27.3475	0.078011	Coverage	LOW
N43_2_3	soxS	soxS	STRESS	2	3.04414	2.0	4.15658	0.0200494	Coverage	LOW
N44_1_2	soxS	soxS	STRESS	27	3.04414	27.0	95.2417	0.24567	Coverage	LOW
N44_2_2	soxS	soxS	STRESS	10	3.04414	10.0	67.9226	0.0907554	Coverage	LOW
N45_1_3	cpxA	cpxA	STRESS	1	4.37637	1.0	4.38419	0.0199941	Coverage	LOW
N45_1_3	soxS	soxS	STRESS	3	3.04414	3.0	9.14874	0.0417228	Coverage	LOW
N46_1_2	soxS	soxS	STRESS	24	3.04414	24.0	137.216	0.233371	Coverage	LOW
N46_1_3	clpB	clpB	STRESS	1	2.3015	1.0	13.9406	0.00659078	Coverage	LOW
N46_1_3	soxS	soxS	STRESS	2	3.04414	2.0	36.8778	0.017435	Coverage	LOW
N46_2_2	soxS	soxS	STRESS	12	3.04414	12.0	108.857	0.0926792	Coverage	LOW
N46_2_3	soxS	soxS	STRESS	21	3.04414	21.0	33.8174	0.124193	Coverage	LOW
N46_2_4	soxS	soxS	STRESS	1	3.04414	1.0	2.18611	0.00873064	Coverage	LOW
N47_1_3	soxS	soxS	STRESS	17	3.04414	17.0	87.6791	0.118933	Coverage	LOW
N47_2_2	soxS	soxS	STRESS	2	3.04414	2.0	24.4698	0.0170384	Coverage	LOW
N47_2_3	soxS	soxS	STRESS	5	3.19635	4.7619	13.7375	0.0384288	Coverage	LOW
