hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/N67_2_2/N67_2_2.h5	6	9377431	0	N67_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N67_2_3/N67_2_3.h5	985	7804538	0	N67_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N67_2_4/N67_2_4.h5	4028	20260000	0	N67_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N68_1_2/N68_1_2.h5	352	5862559	0	N68_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N68_1_3/N68_1_3.h5	8405	11603347	0	N68_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N68_1_4/N68_1_4.h5	134	35536280	0	N68_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N68_2_2/N68_2_2.h5	9	3200000	0	N68_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N68_2_3/N68_2_3.h5	150	2517733	0	N68_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N68_2_4/N68_2_4.h5	4984	6383216	0	N68_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_1_2/ZJH_N01_1_2.h5	1	2220000	0	ZJH_N01_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_1_3/ZJH_N01_1_3.h5	0	120000	0	ZJH_N01_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_1_4/ZJH_N01_1_4.h5	1	2420000	0	ZJH_N01_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_2_2/ZJH_N01_2_2.h5	26	6830000	0	ZJH_N01_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_2_3/ZJH_N01_2_3.h5	7422	28084728	0	ZJH_N01_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N01_2_4/ZJH_N01_2_4.h5	6546	23888440	0	ZJH_N01_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_1_2/ZJH_N02_1_2.h5	0	14740000	0	ZJH_N02_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_1_3/ZJH_N02_1_3.h5	1	3683508	0	ZJH_N02_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_1_4/ZJH_N02_1_4.h5	0	17814505	0	ZJH_N02_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_2_2/ZJH_N02_2_2.h5	34	15440000	0	ZJH_N02_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_2_3/ZJH_N02_2_3.h5	844	3780000	0	ZJH_N02_2_3
