sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N07_1_2	unknown	50.226600000000005	2	N07	UCMC	Axilla	Week.3
N08_1_2	intrinsic	63.467	2	N08	UCMC	Axilla	Week.1
N08_1_2	acquired	4797.281174	46	N08	UCMC	Axilla	Week.1
N08_1_2	unknown	306.720938	8	N08	UCMC	Axilla	Week.1
N08_1_3	intrinsic	3.67403	1	N08	UCMC	Groin	Week.1
N08_1_3	acquired	2439.795602	55	N08	UCMC	Groin	Week.1
N08_1_3	unknown	31.703384000000003	5	N08	UCMC	Groin	Week.1
N08_1_4	intrinsic	15.3605	1	N08	UCMC	Stool	Week.1
N08_1_4	acquired	6444.424114	62	N08	UCMC	Stool	Week.1
N08_1_4	unknown	99.554311	6	N08	UCMC	Stool	Week.1
N08_2_3	intrinsic	100.63716	13	N08	UCMC	Groin	Week.3
N08_2_3	acquired	850.436353	56	N08	UCMC	Groin	Week.3
N08_2_3	unknown	210.726216	32	N08	UCMC	Groin	Week.3
N08_2_4	intrinsic	1118.8066	14	N08	UCMC	Stool	Week.3
N08_2_4	acquired	7881.969322	71	N08	UCMC	Stool	Week.3
N08_2_4	unknown	1810.97154	36	N08	UCMC	Stool	Week.3
N08_2_2	intrinsic	29.635445	9	N08	UCMC	Axilla	Week.3
N08_2_2	acquired	4478.129286	59	N08	UCMC	Axilla	Week.3
N08_2_2	unknown	101.808653	30	N08	UCMC	Axilla	Week.3
N09_1_2	intrinsic	59.502300000000005	2	N09	UCMC	Axilla	Week.1
N09_1_2	acquired	2626.25974	41	N09	UCMC	Axilla	Week.1
N09_1_2	unknown	513.745228	27	N09	UCMC	Axilla	Week.1
N09_1_4	intrinsic	0.0	0	N09	UCMC	Stool	Week.1
N09_1_4	acquired	0.0	0	N09	UCMC	Stool	Week.1
N09_1_4	unknown	0.0	0	N09	UCMC	Stool	Week.1
N09_2_2	intrinsic	2.88061	1	N09	UCMC	Axilla	Week.3
N09_2_2	acquired	565.971378	29	N09	UCMC	Axilla	Week.3
N09_2_2	unknown	14.425906	3	N09	UCMC	Axilla	Week.3
N09_2_3	intrinsic	0.0	0	N09	UCMC	Groin	Week.3
N09_2_3	acquired	0.0	0	N09	UCMC	Groin	Week.3
N09_2_3	unknown	0.0	0	N09	UCMC	Groin	Week.3
N09_2_4	intrinsic	1214.63412	14	N09	UCMC	Stool	Week.3
N09_2_4	acquired	8134.445024	66	N09	UCMC	Stool	Week.3
N09_2_4	unknown	2339.617961	36	N09	UCMC	Stool	Week.3
N09_1_3	intrinsic	8.11014	1	N09	UCMC	Groin	Week.1
N09_1_3	acquired	435.016486	17	N09	UCMC	Groin	Week.1
