name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ophioceras	45986	G	41	0	41	0.00000
Escovopsis	150372	G	413	7	420	0.00003
Ceratocystis	5157	G	1336	5	1341	0.00008
Lactobacillus	1578	G	464	216	680	0.00004
Parastagonospora	1351751	G	37	1	38	0.00000
Chryseobacterium	59732	G	199	12	211	0.00001
Cladosporium	5498	G	175	1166	1341	0.00008
Phialophora	5600	G	34	0	34	0.00000
Clostridium	1485	G	1552	21	1573	0.00010
Gomphus	60110	G	35	17	52	0.00000
Yamadazyma	766765	G	2831	67	2898	0.00018
Rhizobium	379	G	37	0	37	0.00000
Knoxdaviesia	1215354	G	31	1	32	0.00000
Borrelia	138	G	38	0	38	0.00000
Corynebacterium	1716	G	260	5	265	0.00002
Blyttiomyces	388809	G	34	0	34	0.00000
Kazachstania	71245	G	167	2	169	0.00001
Vanderwaltozyma	374469	G	76	2	78	0.00000
Talaromyces	5094	G	70	4	74	0.00000
Haemophilus	724	G	1868	58	1926	0.00012
Paracoccidioides	38946	G	522	27	549	0.00003
Tricholoma	40144	G	106	16	122	0.00001
Raffaelea	45340	G	31	1	32	0.00000
Magnusiomyces	1095182	G	26	0	26	0.00000
Tuber	36048	G	454	26	480	0.00003
Cadophora	210567	G	71	4	75	0.00000
Blastomyces	229219	G	497	9	506	0.00003
Massilia	149698	G	35	0	35	0.00000
Fonsecaea	40354	G	281	3	284	0.00002
Faecalibacterium	216851	G	37	6	43	0.00000
Diplodia	66735	G	55	3	58	0.00000
Madurella	100815	G	34	0	34	0.00000
Amanita	41955	G	36	0	36	0.00000
Epicoccum	104397	G	1264	156	1420	0.00009
Solicoccozyma	1851575	G	521	2	523	0.00003
Acidovorax	12916	G	1248	143	1391	0.00008
Pleurotus	5320	G	254	3	257	0.00002
Elsinoe	40996	G	26	1	27	0.00000
Evernia	87256	G	138	1	139	0.00001
Elizabethkingia	308865	G	606	23	629	0.00004
Erysiphe	5121	G	442	43	485	0.00003
Periconia	97971	G	61	2	63	0.00000
Russula	5402	G	33	0	33	0.00000
Articulospora	253308	G	106	8	114	0.00001
Thermoascus	5086	G	122	5	127	0.00001
Lodderomyces	36913	G	71	141	212	0.00001
Clavispora	36910	G	42	7	49	0.00000
Stenotrophomonas	40323	G	38	4	42	0.00000
Ambrosiozyma	36917	G	422	24	446	0.00003
Yarrowia	4951	G	182	2	184	0.00001
Saccharomycodes	36034	G	342	18	360	0.00002
Paenibacillus	44249	G	26	1	27	0.00000
Shigella	620	G	3529	3509	7038	0.00043
Finegoldia	150022	G	62	2	64	0.00000
Xanthomonas	338	G	239	40	279	0.00002
Apiotrichum	105983	G	1392	10	1402	0.00009
Yersinia	629	G	925	17	942	0.00006
