effect_label	megares_class	coef	pvalue	fdr
Donor milk (vs Mother's)	Mupirocin	0.0885216318651942	0.5468990247540244	0.7674873776636484
Donor milk (vs Mother's)	Fosfomycin	0.1007127677281958	0.5592180190141038	0.7674873776636484
Donor milk (vs Mother's)	Elfamycins	0.08139400467704312	0.5910162635063811	0.7674873776636484
Donor milk (vs Mother's)	Phenolic compound resistance	0.06070668828666821	0.6267578983563615	0.7674873776636484
Donor milk (vs Mother's)	Trimethoprim	-0.06785165849526673	0.6547855534832954	0.7674873776636484
Donor milk (vs Mother's)	betalactams	0.08835344785523633	0.6673803284031725	0.7674873776636484
Gestational age (per week)	Mupirocin	-0.07054374810319804	0.0007315892886856006	0.016826553639768815
Gestational age (per week)	Fusidic acid	-0.04609633897163099	0.014065520327212823	0.16175348376294746
Gestational age (per week)	Oxazolidinone	-0.027398243280704615	0.021158164126440716	0.16221259163604548
Gestational age (per week)	Drug and biocide and metal resistance	0.040170154291574986	0.08465093035771698	0.3810877411900101
Gestational age (per week)	Chromium resistance	0.021158328438078355	0.09149763825580769	0.3810877411900101
Gestational age (per week)	Phenolic compound resistance	0.028947544913006325	0.09941419335391567	0.3810877411900101
Gestational age (per week)	Lipopeptides	-0.02763768664546396	0.17969673966467947	0.5650913655497928
Gestational age (per week)	Elfamycins	0.02758857649895371	0.1966148969761229	0.5650913655497928
Gestational age (per week)	Aminoglycosides	-0.030994062178509973	0.22112270825861458	0.5650913655497928
Gestational age (per week)	Drug and metal resistance	0.013924702709961347	0.40933984328902984	0.830468820489293
Gestational age (per week)	Trimethoprim	-0.017077646295907526	0.42401042564169455	0.830468820489293
Gestational age (per week)	Drug and biocide resistance	0.024903025880646197	0.4757271722598464	0.830468820489293
Gestational age (per week)	Phenicol	0.013758600331414614	0.5082996201253838	0.830468820489293
Gestational age (per week)	Sulfonamides	0.015037084651594401	0.5700828820393897	0.830468820489293
Gestational age (per week)	Aminocoumarins	-0.011159822873350253	0.5832301078869022	0.830468820489293
Gestational age (per week)	Glycopeptides	0.009208149835728251	0.5865656459829675	0.830468820489293
Gestational age (per week)	betalactams	-0.013768950787340013	0.6363997626564997	0.830468820489293
Gestational age (per week)	MLS	-0.011426096924837906	0.6696408961989384	0.830468820489293
Gestational age (per week)	Cationic antimicrobial peptides	-0.004129805415121822	0.6860394604041986	0.830468820489293
Gestational age (per week)	Fosfomycin	-0.0046662030787144315	0.8478334001996893	0.9750084102296428
