sample_name	Aminocoumarins	Aminoglycosides	Bacitracin	Cationic antimicrobial peptides	Chromium resistance	Drug and biocide and metal resistance	Drug and biocide resistance	Drug and metal resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic acid	Glycopeptides	Lipopeptides	MLS	Multi-biocide resistance	Multi-drug resistance	Multi-metal resistance	Mupirocin	Oxazolidinone	Phenicol	Phenolic compound resistance	Rifampin	Sulfonamides	Tetracyclines	Trimethoprim	betalactams
ZJH_N1_2_3	69.8351	944.70523	0.0	15.8395	12.8365	125.1615	933.96456	43.055170000000004	68.8341	896.527689	142.72037999999998	0.0	0.0	93.105587	306.567968	0.0	883.72603	0.0	0.0	0.0	0.0	30.36	0.0	923.79	508.50109	137.89199	1342.259389
ZJH_N1_2_4	151.718	411.524905	0.0	9.74873	29.7097	326.5077	1822.81893	31.9226	140.564	1950.67368	294.21141	0.0	0.0	539.828437	51.629431000000004	0.0	1003.99933	0.0	0.0	0.0	0.0	74.0575	0.0	540.4869	347.11194	109.65827999999999	2454.332048
ZJH_N2_1_2	8.00932	86.8135	0.0	0.0	0.0	0.0	0.0	0.0	1.08625	12.701910000000002	0.0	9.03764	0.0	29.5317	6.58994	0.0	48.6932	0.0	5.9961199999999995	4.15674	80.0208	0.0	0.0	0.0	25.15767	1.216606	23.057545
ZJH_N2_1_3	0.0	44.719158	0.0	0.0	0.0	0.0	0.0	0.0	0.542397	0.0	0.0	0.0	0.0	0.513849	0.0	0.0	2.2123999999999997	0.0	0.0	0.0	3.040276	0.0	0.0	0.0	40.351449	0.0	0.0
ZJH_N2_1_4	17.7715	128.60376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.143700000000003	7.450126000000001	21.88126	0.0	44.73836	108.22377	0.0	62.5285	0.0	156.4338	5.87378	149.0587	0.0	0.0	0.0	3.1527	26.197409999999998	350.04336
ZJH_N2_2_2	4.1001	1346.246721	0.0	0.0	0.0	0.0	0.0	0.0	6.78512	64.58563000000001	6.2045710000000005	6.222715	0.0	55.1154	1117.621	0.0	150.50617	0.0	5.71474	6.36785	91.68979999999999	0.0	0.0	639.7053	120.9891	0.0	749.50089
ZJH_N2_2_3	0.727155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.278159	0.905963	1.335104	0.0	10.13248	360.382762	0.0	12.02785	0.0	0.63179	1.35894	0.0	0.0	0.0	0.0	10.704671	0.0	2.467562
ZJH_N2_2_4	118.193	973.41052	0.0	0.0	0.0	0.546322	0.0	1.26337	0.0	459.918457	667.5548190000001	165.87709999999998	0.0	639.7609	1027.13717	0.0	710.8331000000001	0.0	606.93	38.3791	643.9256	0.0	0.0	0.0	2274.4767	112.23505	2119.608945
ZJH_N3_1_2	1.06708	86.214553	0.0	0.0	0.0	0.0	6.12477	0.0	1.2425	10.977820000000001	0.906291	4.3998930000000005	0.0	11.44557	175.820356	0.0	22.74496	0.0	0.0	0.833203	1.666404	0.0	0.0	0.0	68.015636	0.0	124.00104
ZJH_N3_1_3	1.88875	373.443095	0.0	0.0	0.0	0.745561	13.005882	0.546745	2.8994	18.22483	1.855619	0.0	0.0	0.298224	75.48392	0.0	11.431930000000001	0.0	0.0	0.298224	0.0	0.33136	0.0	39.365638	371.90231	0.0	40.889936
ZJH_N3_2_2	3.76284	599.7768	0.0	0.0	0.0	0.0	14.92215	0.0	10.7879	96.4288	4.10198	10.238797	0.419887	102.35571	866.56708	0.0	172.29899999999998	0.0	0.0	2.01869	0.0	0.0	0.0	0.0	196.07125	0.0	150.59421
ZJH_N3_2_4	87.0978	25.216202	0.0	0.0	0.0	179.80268	1045.957135	7.07934	81.9449	1243.28555	165.42471	0.0	0.0	529.243413	10.744314	0.0	336.89486999999997	0.0	0.0	0.0	2.53729	48.7566	0.0	29.1631	93.11214700000001	0.0	1349.835787
ZJH_N4_1_2	9.23147	1650.11069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.98397	4.01237	15.385746000000001	0.0	111.89388000000001	1594.47896	0.0	428.0865	0.0	5.24926	1.29723	176.0316	0.0	0.0	152.34953000000002	344.370028	0.0	389.079054
ZJH_N4_1_3	0.0	54.899851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.50027	0.0	0.0	0.0	8.32324	119.34192999999999	0.0	16.35228	0.0	0.0	0.0	0.0	0.0	0.0	20.26165	9.121939999999999	0.0	21.186446
ZJH_N4_1_4	0.0	501.0495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	436.829	0.0	0.0	0.0	493.85249999999996	336.85579	0.0	289.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4891.3955	39.87579	86.6824
ZJH_N4_2_2	0.0	36.67926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8675	0.0	0.0	0.0	0.0	149.8615	0.0	26.7064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.898699999999998	0.0	25.3363
ZJH_N4_2_3	72.9735	630.578443	0.0	0.0	0.0	87.92933000000001	682.90385	19.5878	39.7252	757.76227	169.734928	18.410220000000002	0.0	177.03646	862.5715	0.0	2189.793	0.0	33.16976	3.49362	50.6379	26.535800000000002	0.0	81.05985	283.41508999999996	0.9421	2780.921589
ZJH_N4_2_4	131.23	360.80055	0.0	0.0	0.0	243.0138	1915.8837	44.6338	126.412	1797.6407100000001	429.72813	0.0	0.0	252.15443199999999	4.545947	0.0	5194.832	0.0	0.0	0.0	0.0	58.126	0.0	85.30449999999999	404.492344	0.7382299999999999	6826.994385
ZJH_N5_1_2	118.104	815.59916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.2286	150.8828	129.9782	4.69287	416.31484	5537.1212	0.0	657.357	0.0	222.59130000000002	19.7314	223.0179	0.0	0.0	0.0	217.11578	75.6191	963.03386
ZJH_N5_1_4	2.14301	3.839556	0.0	0.0	0.252994	2.976401	26.281615	0.357168	2.2323	28.0526	4.702714	0.0	0.0	3.497274	0.0	0.0	67.519692	0.0	0.0	0.0	0.0	0.7441	0.0	0.505988	5.833748	0.0	47.354566
ZJH_N5_2_2	1.00136	1144.967129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32158	0.0	1.51425	1281.93303	0.0	268.462	0.0	0.0	0.0	278.9394	0.0	0.0	11.772069	268.804	0.268657	79.6935
ZJH_N5_2_3	80.8512	704.212392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.33931	92.70457999999999	88.9259	15.0625	407.4653	10789.38482	0.0	471.4939	0.0	111.44210000000001	13.3027	109.00919999999999	0.0	0.0	50.467330000000004	275.88767	21.11861	1284.974313
ZJH_N5_2_4	35.0207	1744.261886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	594.8741299999999	10.67986	75.06296	0.405198	837.1393400000001	1546.14822	0.0	594.383	0.0	53.31252	4.42824	3.29946	0.0	0.0	18.291803	7462.58954	101.06796	457.728529
