megares_class	effect	effect_label	coef	se	pvalue	fdr
Aminocoumarins	BodySite[T.Stool]	Stool (vs Axilla)	0.42543981122172825	0.06609054334376255	1.216761252516994e-10	2.332125733990905e-10
Mupirocin	BodySite[T.Stool]	Stool (vs Axilla)	-0.4707593577262871	0.07527865313203909	4.0120771276754123e-10	7.098290302810346e-10
Multi-drug resistance	BodySite[T.Stool]	Stool (vs Axilla)	0.5466895261329502	0.09209974954310883	2.9234192005656943e-09	4.802760115215069e-09
Fusidic acid	BodySite[T.Stool]	Stool (vs Axilla)	-0.36219886076797053	0.06716451799577723	6.940237985083877e-08	1.0641698243795278e-07
Aminoglycosides	BodySite[T.Stool]	Stool (vs Axilla)	-0.4594206589348851	0.08643078842423207	1.0637969968102703e-07	1.5292081829147637e-07
Oxazolidinone	BodySite[T.Stool]	Stool (vs Axilla)	-0.2247605017258881	0.042886053998707825	1.5981587208947642e-07	2.162214740034093e-07
Lipopeptides	BodySite[T.Stool]	Stool (vs Axilla)	0.31291918744094555	0.07766264820006245	5.596439756012442e-05	7.151006354904786e-05
betalactams	BodySite[T.Stool]	Stool (vs Axilla)	0.27255619752889615	0.09775457957198552	0.005300703593117394	0.006416641191668424
Tetracyclines	BodySite[T.Stool]	Stool (vs Axilla)	0.2452815652626299	0.09002440222043881	0.00643770943846529	0.007403365854235084
Glycopeptides	BodySite[T.Stool]	Stool (vs Axilla)	-0.10305686077680913	0.04728918709932619	0.029310118721263732	0.03210155859947933
Trimethoprim	BodySite[T.Stool]	Stool (vs Axilla)	0.06745020116244753	0.0618536947258475	0.27550187154563555	0.28802468388861896
Phenicol	BodySite[T.Stool]	Stool (vs Axilla)	-0.014216591603710865	0.05982463247367272	0.8121620617074979	0.8121620617074979
Mupirocin	GestationTime	Gestational age (per week)	-0.07054374810319804	0.02088663507719887	0.0007315892886856006	0.016826553639768815
Fusidic acid	GestationTime	Gestational age (per week)	-0.04609633897163099	0.01877203414937588	0.014065520327212823	0.16175348376294746
Oxazolidinone	GestationTime	Gestational age (per week)	-0.027398243280704615	0.01188566521847746	0.021158164126440716	0.16221259163604548
Drug and biocide and metal resistance	GestationTime	Gestational age (per week)	0.040170154291574986	0.023296292280112475	0.08465093035771698	0.3810877411900101
Chromium resistance	GestationTime	Gestational age (per week)	0.021158328438078355	0.012537896981732686	0.09149763825580769	0.3810877411900101
Phenolic compound resistance	GestationTime	Gestational age (per week)	0.028947544913006325	0.017568453136026518	0.09941419335391567	0.3810877411900101
Lipopeptides	GestationTime	Gestational age (per week)	-0.02763768664546396	0.02059916963812894	0.17969673966467947	0.5650913655497928
Elfamycins	GestationTime	Gestational age (per week)	0.02758857649895371	0.02136568962934948	0.1966148969761229	0.5650913655497928
Aminoglycosides	GestationTime	Gestational age (per week)	-0.030994062178509973	0.025331296317449323	0.22112270825861458	0.5650913655497928
Drug and metal resistance	GestationTime	Gestational age (per week)	0.013924702709961347	0.016877283536155786	0.40933984328902984	0.830468820489293
Trimethoprim	GestationTime	Gestational age (per week)	-0.017077646295907526	0.02136086350118766	0.42401042564169455	0.830468820489293
Drug and biocide resistance	GestationTime	Gestational age (per week)	0.024903025880646197	0.03491771933240438	0.4757271722598464	0.830468820489293
Phenicol	GestationTime	Gestational age (per week)	0.013758600331414614	0.020799481202387258	0.5082996201253838	0.830468820489293
Sulfonamides	GestationTime	Gestational age (per week)	0.015037084651594401	0.026477029800034264	0.5700828820393897	0.830468820489293
Aminocoumarins	GestationTime	Gestational age (per week)	-0.011159822873350253	0.020339673484883553	0.5832301078869022	0.830468820489293
Glycopeptides	GestationTime	Gestational age (per week)	0.009208149835728251	0.016932362273874648	0.5865656459829675	0.830468820489293
betalactams	GestationTime	Gestational age (per week)	-0.013768950787340013	0.029125935544460444	0.6363997626564997	0.830468820489293
MLS	GestationTime	Gestational age (per week)	-0.011426096924837906	0.026781531446817455	0.6696408961989384	0.830468820489293
Cationic antimicrobial peptides	GestationTime	Gestational age (per week)	-0.004129805415121822	0.010216332207675963	0.6860394604041986	0.830468820489293
Fosfomycin	GestationTime	Gestational age (per week)	-0.0046662030787144315	0.024317886366861014	0.8478334001996893	0.9750084102296428
Fluoroquinolones	GestationTime	Gestational age (per week)	-0.002687000153226703	0.026111259695895755	0.9180377318180138	0.9792012562101922
Multi-drug resistance	GestationTime	Gestational age (per week)	-0.0021592735045098954	0.027157390389612346	0.9366272885488794	0.9792012562101922
Tetracyclines	GestationTime	Gestational age (per week)	0.0007922264753939954	0.030753041707764224	0.9794480372740216	0.9794480372740216
Drug and biocide and metal resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.20742888918030536	0.10956070784677954	0.05832089548026421	0.643699959406235
Fusidic acid	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.1557580798507348	0.08843491006144887	0.07819209189163633	0.643699959406235
Phenolic compound resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.1334634079434263	0.08264281944528172	0.1063231304102304	0.643699959406235
Elfamycins	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.1488026846375964	0.10048046283450167	0.1386301271093349	0.643699959406235
Drug and biocide resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.22963013331950616	0.1641801943855461	0.16191887035130992	0.643699959406235
Lipopeptides	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.13309930212494417	0.09706705528906637	0.17030954914887664	0.643699959406235
Fosfomycin	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.1403546352373853	0.1143989741623578	0.21986499622384292	0.643699959406235
MLS	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.1528973761317144	0.12637666065905429	0.22633471532533234	0.643699959406235
Drug and metal resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.09095660665021828	0.07938340361645167	0.25188259281113545	0.643699959406235
