sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
N59_1_3	0.0	0.0	423.26739999999995	132.93352	0.0	896.4407	4.61041	0.0	20.2211	0.0	0.0
N60_1_2	0.0	0.0	66.72432	33.999317	0.0	73.32721	197.045828	0.0	3.88067	0.0	0.0
N60_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N60_1_4	170.50136	0.0	0.0	26.1168	92.7294	552.76595	761.4654	19.7556	0.390736	0.0	0.0
N60_2_3	443.35378	0.0	0.0	23.4256	139.5831	392.96792000000005	537.33304	48.791799999999995	0.0	0.0	0.0
N60_2_4	286.793951	0.0	14.448870000000001	18.4229	75.5315	265.207225	793.558869	29.9035	0.269843	0.0	0.0
N60_2_2	0.0	0.0	109.56753	981.3279	0.0	796.9672	2073.34064	0.0	5.08899	0.0	0.0
N61_1_3	0.0	0.0	41.20821	0.0	0.0	52.795676	0.613903	0.0	6.10066	0.0	0.0
N61_1_4	0.0	0.0	8.857004	652.4913	0.0	874.489435	4789.3942	0.0	16.771046000000002	0.0	0.0
N61_2_2	0.0	0.0	1069.9049	987.5549	0.0	2720.36058	1212.662322	0.838989	38.851701	0.0	0.0
N61_1_2	0.0	0.0	96.53983	107.10537	0.0	436.39676000000003	226.74432000000002	1.29479	2.95213	0.0	0.0
N61_2_4	0.0	0.0	0.0	7.16783	0.0	0.0	58.36662	12.2877	0.0	0.0	0.0
N61_2_3	0.0	0.0	78.71853999999999	97.2672	0.0	92.449039	207.835102	0.0	3.55138	0.0	0.0
N62_1_2	0.0	0.0	259.00440000000003	403.93315	0.0	1815.11736	670.96284	0.0	8.39029	0.0	0.0
N62_1_3	0.0	0.0	0.0	0.0	0.0	110.67193999999999	0.0	0.0	0.0	0.0	0.0
N62_2_2	0.0	0.0	82.39693	291.54363	0.0	572.993154	560.182996	0.0	4.44811	0.0	0.0
N62_2_3	0.0	0.0	0.0	17.654468	0.0	59.037746	69.377208	0.0	0.336029	0.0	0.0
N62_2_4	372.921107	0.0	0.0	32.074568	77.7073	425.113999	502.95588	38.061099999999996	0.0	11.66961	0.0
N62_1_4	416.35127	0.0	0.0	16.0036	118.4102	320.142371	155.654221	41.133700000000005	0.26946	0.0	0.0
N63_1_3	33.36061	0.0	360.2209	175.53596	12.10593	1787.1938	58.773818	7.854990000000001	12.7066	0.0	0.0
