category	effect	effect_label	coef	se	pvalue	fdr
Carbapenemase	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.30651200041853943	0.08820217864643431	0.0005106497942083855	0.0018723825787640804
Vancomycin (VRE)	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.06670148027102848	0.021159620949287847	0.0016198956226569218	0.004454712962306534
Trimethoprim	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.2936477989445368	0.0992622034435506	0.003093366338162954	0.006805405943958499
Macrolide (MLS)	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.3256224619959578	0.11285148492486483	0.003909079653735869	0.007166646031849093
Aminoglycoside	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.10180091104873486	0.11816114410416498	0.38893902817406845	0.6111899014163933
Sulfonamide	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.07005946876402502	0.12196099858436461	0.5656690223814826	0.7355350593976164
ESBL	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.0809189700401079	0.1550731102276577	0.6018014122344135	0.7355350593976164
Fluoroquinolone	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.030341612577142345	0.10335089094209077	0.7690799102595276	0.8459879012854804
Colistin (mcr)	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.0036969889326159927	0.0320342950038634	0.9081223564311395	0.9081223564311395
Tetracycline	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.49379729066412975	0.15399394059906962	0.001343126408640675	0.014774390495047423
Vancomycin (VRE)	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.051825447678609124	0.022589401420431747	0.021776870967372026	0.11977279032054615
Methicillin (mecA)	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.23835327263716924	0.14280094039578273	0.09509170365420166	0.3486695800654061
Carbapenemase	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.12649111002437138	0.09551905135587158	0.18542000836925943	0.5099050230154634
ESBL	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.1738588995494925	0.1682755158025969	0.30151966467654157	0.6633432622883915
Aminoglycoside	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.11446821696566674	0.1263658943682913	0.3650166280067383	0.6691971513456869
