effect_label	gene_family	coef	pvalue	fdr
Postnatal Week 3 (vs Week 1)	tufA	0.5282260009898392	3.1664630399817615e-23	3.2181759004605588e-21
Postnatal Week 3 (vs Week 1)	silA	0.531794304781322	4.454159368970256e-23	3.2181759004605588e-21
Postnatal Week 3 (vs Week 1)	emrR	0.3031383697630461	5.431520507106428e-23	3.2181759004605588e-21
Postnatal Week 3 (vs Week 1)	mdrA	0.45039490119245174	1.363709172894092e-22	6.188891444510501e-21
Postnatal Week 3 (vs Week 1)	arsB_pKW301	0.44848239113224475	1.687026626141705e-22	6.188891444510501e-21
Postnatal Week 3 (vs Week 1)	fieF	0.38383024620866857	2.019704111332648e-22	6.188891444510501e-21
Postnatal Week 3 (vs Week 1)	acrF	0.5350275426276865	2.2466895871261425e-22	6.188891444510501e-21
Postnatal Week 3 (vs Week 1)	silR	0.37165951569197575	2.350211940953355e-22	6.188891444510501e-21
Postnatal Week 3 (vs Week 1)	emrD	0.4010837383832813	3.343964500641565e-22	7.090326752877166e-21
Postnatal Week 3 (vs Week 1)	ompK36	0.3900088958034523	3.5664437251586666e-22	7.090326752877166e-21
Postnatal Week 3 (vs Week 1)	phoQ	0.3862539834587555	3.5900388622162866e-22	7.090326752877166e-21
Postnatal Week 3 (vs Week 1)	cpxA	0.41867640872774475	5.868414556324495e-22	1.0698571152683887e-20
Postnatal Week 3 (vs Week 1)	cyaA	0.49190429677645064	8.368273229179172e-22	1.416629110939617e-20
Postnatal Week 3 (vs Week 1)	kdeA	0.3700724820086888	1.1202793161311303e-21	1.7700413194871858e-20
Postnatal Week 3 (vs Week 1)	uhpA	0.3198659403337866	1.295886292264428e-21	1.9195315704166842e-20
Postnatal Week 3 (vs Week 1)	arnC	0.3534576658953159	1.907007729629787e-21	2.6585931289544678e-20
Postnatal Week 3 (vs Week 1)	lon	0.4710928440724025	2.8224140664607044e-21	3.6259058233402707e-20
Postnatal Week 3 (vs Week 1)	fabI	0.3237830815821056	2.9068443309478964e-21	3.6259058233402707e-20
Postnatal Week 3 (vs Week 1)	ompR	0.3638468675360283	6.817881895289526e-21	8.079190045918088e-20
Postnatal Week 3 (vs Week 1)	ptsI	0.41970036778976477	9.983123837421617e-21	1.1266668330804397e-19
Postnatal Week 3 (vs Week 1)	envZ	0.4110103913948335	1.590289062759304e-20	1.6855243296470054e-19
