gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
aggD	40	6.1961284075	12.1145998575	0.9560697330537458	0.00042725886751768515	0.002664746094781352
silB	40	57.6059890275	134.93407224999999	1.2265305167169027	0.0004785661296700497	0.0029082095572256867
mrdH	40	14.305071764	26.892266999999997	0.9059693017315896	0.0005355746803064209	0.0031365056878091854
ymoA	40	62.793867575	119.92678000000001	0.9323650713089052	0.0005426022497897747	0.0031365056878091854
ttgA	40	15.9826036085	28.444374000000003	0.8277054403242706	0.0005670909974086868	0.00320001348537759
sab	40	2.3051609445	5.81426246025	1.2980648310376792	0.0005825314188358219	0.003210696424746274
epsilon-2	40	0.07188668000000001	0.4644436174999999	1.7153717263051151	0.0006292038308113259	0.003328030607066201
bepE	40	8.2201977225	14.833157317500001	0.8438295084198639	0.0006384575062838849	0.003328030607066201
cadC_Lm	40	1.590421895	12.372439697500003	2.8832884301697783	0.0006459468688820475	0.003328030607066201
iutA	40	18.2571735975	37.55885825	1.0366453125086945	0.0006719298546338359	0.003388242032940832
mexX	40	0.30903485475	0.8150854175	1.1616826326517042	0.0007405653023944465	0.0036122070658042866
ttgR	40	3.9241284524999998	7.128775424999999	0.8450749137190895	0.0007468276212000424	0.0036122070658042866
silE	40	39.6283892	101.93674535	1.3608465821687998	0.0007858695145877867	0.003725021499146109
srpA	40	12.78117392	23.001338499999996	0.8427123655326036	0.0008104541647283775	0.0037662281772671657
multi_CopA	40	12.51179105625	27.88483435	1.149872034324742	0.0008294526037812332	0.0037803897518490816
adeE	40	28.229199769	48.883738	0.790013021996902	0.0009411722930963151	0.004060195847347947
mexA	40	15.571121719500002	27.894907999999997	0.8370559890805489	0.0009418834648813885	0.004060195847347947
blaEC-5	40	9.98373744	25.0159703675	1.3165745563423366	0.0009785772519373816	0.004060195847347947
blaEC	40	9.529360915	23.5405926175	1.2957542441119445	0.0009785772519373816	0.004060195847347947
blaEC-8	40	9.61586504	23.6774671175	1.291180685712209	0.0009785772519373816	0.004060195847347947
copS	40	13.38312476875	26.25067674	0.9666851280518378	0.0009936344267771346	0.004060195847347947
arsA	40	32.994518049999996	107.050431325	1.6949734911306023	0.0010487130839464953	0.0042126271338189724
merD	40	15.500230347500002	33.390014550000004	1.1021636712639487	0.001128690345679373	0.004458326865433523
bind_CopB	40	1.266048425	2.8648967625	1.117973244526862	0.0011824902654979776	0.004594265457754437
aafC	40	4.1061673905000005	8.81678805	1.0840178597324073	0.0012520202884488444	0.004785948521973808
tcrB	40	39.207615915	9.244146802500001	-2.0726740189280393	0.0012975311765330844	0.004881188711719699
beta-4	40	0.059668773249999994	0.34800912975	1.4884459430272825	0.0013462033496218731	0.0049851592790684995
bonA	40	0.39647198274999995	0.65124014125	0.5975618481404046	0.0014639341451236076	0.005199050216661741
epsilon-7	40	0.059022755	0.36018534	1.5329818052963993	0.0014697736899423487	0.005199050216661741
epsilon-1	40	0.059022755	0.36177459	1.5379555688843198	0.0014697736899423487	0.005199050216661741
sdeA	40	13.871484659999998	26.325568425	0.9194491700783167	0.001494944336163062	0.0052103207010389075
arsB_pYV	40	71.99339004250001	144.27562525	1.0018882988005302	0.001517616927230847	0.005212684228314649
tbtM	40	3.2014111442499997	6.45278925	0.9890263156016066	0.001769580216687318	0.0059102017856557595
silP	40	71.58569845	121.42137975	0.7614529253693822	0.001770566779669025	0.0059102017856557595
rho-3	40	0.7009474305	1.3237080775	0.8298739001707587	0.0018664834985776771	0.0061438415161515205
