gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
iucD	39	1.344423923076923	11.693426856410257	3.0294168629190388	0.008146173731078668	0.020874594296460162
lmrS	39	21.73726718974359	8.827804551282052	-1.290414973495672	0.008191296496079303	0.020874594296460162
vac_auto	39	0.011587661025641025	3.3127493971794877	4.934685066357768	0.008360653818070695	0.02107952079662505
sph	39	2.4666311948717947	0.8975377333333333	-1.363432687100084	0.008484313822872002	0.02116613027390173
pic_auto	39	0.08682411974358974	5.9673161482051285	5.021305857594231	0.008903385115881386	0.02198023200483217
rpeA	39	0.027321920000000003	0.570735853076923	2.3972639030669876	0.009467354390313695	0.02313157722169429
merD	39	6.56683721025641	26.514411394871793	1.9971332547635463	0.010396668482565371	0.0251429635751836
lpfA1	39	0.1587370076923077	3.350192056410256	3.737118346793744	0.012063323418854825	0.02865703679668513
silP	39	17.254170512820508	47.96623033589743	1.469741252955779	0.012091576707462082	0.02865703679668513
sat_auto	39	0.5564941230769231	11.830923546153846	4.183779816735402	0.012274756174561622	0.028803140726446578
iha	39	0.26043719179487174	0.9275687030769231	1.5114150667223747	0.012532658105357678	0.029119999715389897
arsD	39	4.803856043589744	19.88155131538462	2.0266800611915294	0.013075950970744614	0.029964592551515613
srpC	39	1.1961128102564105	3.702621597435898	1.5528030900516627	0.013149019516276894	0.029964592551515613
copR	39	12.580972312820512	30.93040276923077	1.29101705464146	0.013706969453778584	0.030938588195671662
tsh	39	0.011779751025641026	1.493880572820513	3.8338127624926415	0.014097354120504295	0.03151955591093885
terB	39	1.2034984153846155	3.0357337076923074	1.266414219280166	0.014596605678345812	0.03233079949315848
cvaB	39	4.569063933333334	12.042341630769231	1.3788414212066895	0.015504680151934735	0.034024159222301224
hlyE	39	0.09953282307692309	2.8405736846153853	3.881399647975368	0.015906444101703374	0.03458557112021743
ncrY	39	0.6175499999999999	4.388457941025641	2.645068606741673	0.016368539230025455	0.034995285816403175
air	39	3.6458421002564103	6.398499666666666	0.7948165896412103	0.016390197154517942	0.034995285816403175
bind_CopB	39	0.3383866769230769	1.1080856153846155	1.4624468412111353	0.0184421180510759	0.03857464441908068
capC	39	4.694470999999999	2.5637178461538457	-0.8479303703697865	0.018443784494790345	0.03857464441908068
terC	39	3.6577983435897434	10.717730115384615	1.5254382562193507	0.018554892252216022	0.03857464441908068
aut	39	0.4585492076923077	0.6648705743589745	0.4535312599946528	0.01942008481166587	0.03993067322451866
copB_Ehir	39	3.915970105128206	6.5354510615384624	0.7244460098564637	0.019712610832357313	0.03993067322451866
lmrC_abcf	39	13.07008705128205	25.125132964102566	0.9375969924237656	0.019712610832357313	0.03993067322451866
f17a	39	0.01797028205128205	0.28680008205128205	1.7131646254759887	0.020879263166351643	0.041935469240892705
cesC	39	10.019986051282054	17.089257156410255	0.7642998977525233	0.02302810369656072	0.045862693916679756
alpha-1	39	0.0030495166666666667	0.05599158717948717	0.5981304866278786	0.02454049897109125	0.04846748546790521
arsR_pYV	39	2.4402621205128203	12.35450430769231	2.2936183268029415	0.026665616912217905	0.05222934882806317
golT	39	6.69926641025641	11.41606203076923	0.7601964611290599	0.027825374600070063	0.054054211313250854
fdeC	39	1.438015922820513	11.180055523333333	2.874631824600959	0.028685926073821776	0.05506706710433573
abaF	39	0.16801426923076923	0.5613250974358974	1.3030498405889948	0.028811461269779036	0.05506706710433573
sed	39	1.0502436743589743	0.1590508051282051	-2.1506325499228667	0.03400102540139365	0.06446594416104236
iss	39	0.6185128205128205	10.732590743589743	3.9142206126575334	0.034669963150986444	0.06521254973637927
senB	39	2.2225428794871793	19.766422982051278	3.096554996316976	0.040135536373545506	0.07489859937425421
mtrF	39	0.21564327179487178	1.7561701307692312	2.555962045189069	0.04093461122886222	0.0757929911034402
cnrT	39	0.04364656153846154	0.0064943051282051285	-0.43174717636170057	0.04285796577660062	0.07800094570678519
cytK1	39	0.008902761538461538	0.0	-0.12304053814416516	0.043114446783075355	0.07800094570678519
plcA	39	0.017636697435897436	0.0	-0.2343381872997568	0.043114446783075355	0.07800094570678519
ehxA	39	0.0003301902564102564	0.02335562512820513	0.29806771414940736	0.046399461870904594	0.08330812472276053
cueA	39	9.130855333333331	16.35250096153846	0.8337706665268267	0.04914561632904224	0.08757527120287978
merE	39	4.679069279487178	19.05936897435898	2.0032484590155253	0.0520227725687883	0.09201042611046886
capB	39	1.672947584615385	0.8705118666666667	-0.8693321267457592	0.05466221286594856	0.09596255147577636
MerP_Gneg	39	5.669281489743589	23.47911388974359	2.0310459414736153	0.0596189066411146	0.10389471230841295
gamma-1	39	0.005107871794871795	0.050233394871794866	0.5153348198538306	0.0663160312989308	0.114333937131421
cnrA	39	1.2418246628205127	0.7971778384615384	-0.5807302764645814	0.06657419124108058	0.114333937131421
merC	39	2.416764179487179	5.381983215384616	1.1231278684855193	0.06735455698601128	0.11484194248694009
merF	39	0.0	0.7118166051282052	3.0211538496329338	0.06788915486182899	0.11492664073038193
qacR	39	12.248785997435899	4.270420433333334	-1.4985252397909459	0.0704403374948015	0.11839971621466636
eilA	39	0.22385310769230765	6.0492298512820515	4.246994240788249	0.07473549830588248	0.12473459928517006
terW	39	1.7961204102564101	0.5710460205128205	-1.4985669679731686	0.07536823868947248	0.12491099698884602
clpL	39	8.934345461538461	16.62891123076923	0.8888515666690606	0.09013874526135623	0.14835335157598215
plcR	39	0.029577415384615387	0.006910761538461538	-0.2774072057771787	0.09260069782067576	0.14976455775128003
lambda-2	39	0.005086128205128206	0.05050430512820512	0.5182325151366824	0.09289194088370532	0.14976455775128003
pfoA	39	0.004364241025641026	0.34536241025641023	2.0933523191319083	0.09289194088370532	0.14976455775128003
arsR_pSX267	39	4.634868494871795	3.487965307692307	-0.40015841637879734	0.09550753045421458	0.15191466253455607
merR_Ps	39	11.533337979487177	42.422981164102566	1.8699776317198435	0.09550753045421458	0.15191466253455607
cadC_Lm	39	0.41637303846153845	3.6188437358974364	2.8483685479811593	0.09953968814740126	0.15727270727289397
