gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
pmrB	86	2.480377418604651	6.962308180232558	1.4525576811171625	3.933028178589819e-05	0.0002979566801961984
silS	86	2.7790563953488374	11.240953767441859	1.97787402117629	4.077831002609239e-05	0.00029984051489773816
silC	86	2.1962269767441858	9.284237418604652	2.030974257470806	4.2507717927765175e-05	0.00030252314723966996
ompK35	86	2.1337643720930233	7.057442209302326	1.6799671050168907	4.413127905985993e-05	0.00030252314723966996
pcoR	86	1.341503953488372	5.506410755813953	1.9595026542496106	4.4777968325972495e-05	0.00030252314723966996
aph(3')-Ia	86	0.4943545203488372	4.244835549418605	2.869905941491318	4.7162902316854996e-05	0.00030252314723966996
baeR	86	2.2757243488372096	6.325548552325583	1.4354521707148695	4.868334615939588e-05	0.00030252314723966996
arsA	86	1.395043449612403	8.732316550387596	2.5626044659869662	4.898402818087438e-05	0.00030252314723966996
pcoC	86	0.5855871860465116	2.6669106046511626	2.0128639829136556	4.961379614730588e-05	0.00030252314723966996
arsR_R46	86	0.26195503488372096	2.865052604651163	3.0341753108847676	5.18642191075362e-05	0.0003087155899258107
pcoD	86	1.8353263139534883	8.02676176744186	2.070103764256317	5.5202696744937086e-05	0.00032094591130777376
cpxA	86	5.9335135	16.270601593023255	1.4400370619580507	5.9739014088845594e-05	0.00033113670100831243
LHR_hsp20A	86	0.446086023255814	3.0562693023255814	2.531020168170537	6.074981309915873e-05	0.00033113670100831243
folP	86	3.355641093023256	7.923448746124032	1.2152691032169178	6.092915298552948e-05	0.00033113670100831243
silB	86	2.440377965116279	9.784842686046511	1.9601748446316023	6.420199187674331e-05	0.00033303980709156413
clpK	86	2.487183953488372	14.98713534883721	2.543864360905304	6.45913992197603e-05	0.00033303980709156413
baeS	86	4.0908298003875965	10.103244683139534	1.2837201729630838	6.527580218994658e-05	0.00033303980709156413
lamB	86	2.2617237209302323	7.58881996511628	1.70292199351103	6.866214563094421e-05	0.00034271799415581375
oqxR	86	1.1011741860465116	3.35174176744186	1.5228791613366512	6.9914470807786e-05	0.00034271799415581375
pcoS	86	2.3018296511627905	10.096522406976744	2.085871457972304	7.135047507965971e-05	0.0003430311301906717
mgrB	86	0.27632080813953486	0.8946133430232558	1.4021727219964382	7.566625427738375e-05	0.0003569162937612441
cirA	86	4.608196511627907	13.645886267441862	1.5457534855281811	7.939150328543518e-05	0.0003675532559510888
phoP	86	2.6411695116279073	6.721798488372093	1.3153605933025732	8.506473013988442e-05	0.0003866578642722019
ompR	86	4.4239110232558145	10.448734093023257	1.2214274182156677	8.751939146754662e-05	0.00039071156905154744
fosA5_fam	86	0.5529808178294573	2.293651003875969	1.8741003051456666	9.186277314065052e-05	0.00040290689973969526
oqxA	86	2.9089310295983086	8.497188867864692	1.5146139628393256	9.419820191041313e-05	0.00040602673237247037
pmrA	86	2.288082003875969	5.622920019379844	1.2608990667822686	9.986103917435664e-05	0.0004231399965015112
pcoB	86	1.5374263953488372	6.315777220930231	1.9701939901463033	0.00010252595595438772	0.0004271914831432822
ptsI	86	6.951206023255814	16.341621720930235	1.2214106671863272	0.00010667071911269247	0.0004368877604524146
silF	86	0.5117784302325582	2.243056569767442	1.9373106393308617	0.00010834816459219881	0.0004368877604524146
lon	86	11.380655232558139	26.448176500000002	1.2094077878958032	0.00012039757182639738	0.00047242539408053026
pcoA	86	3.162110023255814	13.220963860465115	2.029821128107228	0.00012094090088461574	0.00047242539408053026
cyaA	86	12.736271162790699	30.4115561627907	1.249129591111337	0.00012972916375544532	0.0004989583221363281
fabG	86	2.8659947093023255	6.982565046511629	1.255755922086512	0.00013713460749135702	0.0005194492708005947
envZ	86	6.6828741860465115	16.05032810465116	1.2515948365685716	0.00014169527905898114	0.0005287137278320191
silP	86	3.6277432558139533	16.073256511627907	2.11723579256059	0.00014719217815439215	0.0005411477138029122
fabI	86	2.6536050348837206	6.686861837209303	1.3014230035010044	0.0001558636993577359	0.0005647235483975938
acrR	86	1.5876369418604652	4.335439709302326	1.3940725606630526	0.00017219183246838384	0.0006149708302442279
oqxB	86	9.493110601984004	24.13229625785331	1.3368605258972264	0.0001889149024329345	0.000663447794502374
ramR	86	1.0935981279069766	4.198609430232557	1.8485528557175361	0.0001910729648166837	0.000663447794502374
arsD	86	0.17325443023255813	1.8407897674418605	2.828327057776821	0.0002674361202427063	0.0009158771241188572
pcoE	86	0.5546091279069767	2.0771596279069766	1.7337415641948628	0.0003205760737843948	0.0010830272762986312
tet(W/N/W)	86	0.8250068023255813	5.231390290697674	2.5269759200534305	0.00033042884344033294	0.0011014294781344432
tet(W)	86	1.0305438759689924	6.509415895212839	2.5475057960930205	0.00036168257762884325	0.0011897453211475108
qacE	86	0.17466373255813955	1.6230592383720932	2.6492339717091324	0.00037799533287222436	0.0012215536454137984
fosA_gen	86	0.4370124069767441	1.7758990000000001	1.8045548287040554	0.00038112473736910506	0.0012215536454137984
qacE_gen	86	0.2607176279069767	2.2191842209302326	2.6846755898449306	0.0004829168093193103	0.0015282177510104757
tet(O/W)	86	0.9516238372093022	5.662393139534884	2.454049342711796	0.0005626835235999878	0.001758386011249962
murA	86	6.683106284883721	13.799756959302325	1.035041653516559	0.0006451759898445233	0.00199128391927322
ompC	86	2.5523682558139535	6.8721354186046515	1.3943194972737614	0.000661309686747657	0.0020161880693526125
blaSHV	86	2.304280502330101	2.715073835196972	0.22756754049258848	0.0007339789808123341	0.0022040633999834717
aac(3)-XI	86	0.2149602093023256	1.1843473930232558	2.0277939970318455	0.0007405653023944465	0.0022040633999834717
tet(O/W/O)	86	0.917184534883721	5.107474767441861	2.3560025109810763	0.0009269245230436993	0.0027262485971873505
parC	86	11.36047208139535	22.9216154521041	1.006322599503638	0.0009854236862319684	0.00286460373904642
