PC	variance_explained	cumulative_variance
PC69	0.0008549676645899672	0.9714781095907662
PC70	0.0008346096345998437	0.972312719225366
PC71	0.0008164178820160888	0.9731291371073821
PC72	0.0007835842745042638	0.9739127213818864
PC73	0.000744295467230162	0.9746570168491167
PC74	0.0007146114613040197	0.9753716283104207
PC75	0.0006980722770027445	0.9760697005874234
PC76	0.000677542763299089	0.9767472433507225
PC77	0.0006547849596401751	0.9774020283103627
PC78	0.0006272630056233637	0.978029291315986
PC79	0.0006229578361913822	0.9786522491521774
PC80	0.0006052818396308438	0.9792575309918082
PC81	0.0005814864250129923	0.9798390174168212
PC82	0.000561431540520674	0.9804004489573419
PC83	0.0005383833515840578	0.980938832308926
PC84	0.0005144505063293609	0.9814532828152553
PC85	0.0005006122272811506	0.9819538950425365
PC86	0.0004949890885067314	0.9824488841310433
PC87	0.0004852692003420731	0.9829341533313853
PC88	0.0004621048566342003	0.9833962581880196
PC89	0.00045271855747741857	0.983848976745497
PC90	0.00044730526504311484	0.9842962820105401
PC91	0.0004299132905066716	0.9847261953010468
PC92	0.00042671545619079384	0.9851529107572375
PC93	0.00040864936897653506	0.9855615601262141
PC94	0.00039832401250517504	0.9859598841387193
PC95	0.00038806573230633557	0.9863479498710256
PC96	0.0003822057510547371	0.9867301556220803
PC97	0.00037579889874613404	0.9871059545208265
PC98	0.0003556107583717384	0.9874615652791983
PC99	0.0003503573523350506	0.9878119226315333
PC100	0.000343082202313213	0.9881550048338464
PC101	0.0003224617810147938	0.9884774666148612
PC102	0.0003158261014046389	0.9887932927162659
PC103	0.000309367223760182	0.9891026599400261
PC104	0.00030747861228013927	0.9894101385523062
PC105	0.00029592634495875607	0.989706064897265
PC106	0.0002837157399937974	0.9899897806372587
PC107	0.0002795922639016304	0.9902693729011603
PC108	0.0002697723156491734	0.9905391452168095
PC109	0.00026172407820170235	0.9908008692950112
PC110	0.0002573373598704721	0.9910582066548816
PC111	0.0002495926824355863	0.9913077993373173
PC112	0.00023937297734936315	0.9915471723146666
PC113	0.0002364977592819084	0.9917836700739485
PC114	0.000229516946062339	0.9920131870200108
PC115	0.00022400932250704999	0.992237196342518
PC116	0.0002177490524947082	0.9924549453950127
PC117	0.00021476677868645087	0.9926697121736991
PC118	0.00021016455272084442	0.99287987672642
PC119	0.00020583891922678065	0.9930857156456467
PC120	0.00020384163078704845	0.9932895572764338
PC121	0.0001935189671053548	0.9934830762435392
PC122	0.000189170945024052	0.9936722471885632
PC123	0.00018282949015131216	0.9938550766787145
PC124	0.0001827778503512577	0.9940378545290658
PC125	0.00017731605072375455	0.9942151705797896
PC126	0.00017182558920295402	0.9943869961689925
PC127	0.00016697391172098636	0.9945539700807134
PC128	0.00016406271565562228	0.9947180327963691
PC129	0.00015936467007733954	0.9948773974664464
PC130	0.00014935895664158066	0.995026756423088
PC131	0.00014671237054534114	0.9951734687936333
PC132	0.00013935393878565088	0.995312822732419
PC133	0.00013671130253683638	0.9954495340349557
PC134	0.00013526492574851068	0.9955847989607043
PC135	0.00012838353498406685	0.9957131824956884
PC136	0.0001270297204920556	0.9958402122161805
PC137	0.0001250738565598125	0.9959652860727403
PC138	0.00012134063900098029	0.9960866267117412
PC139	0.00011674608638579645	0.996203372798127
PC140	0.00011422512948682099	0.9963175979276138
PC141	0.00011276622973876898	0.9964303641573525
PC142	0.00011105909574895944	0.9965414232531015
PC143	0.00010621999570607836	0.9966476432488075
PC144	0.00010275141100746159	0.996750394659815
PC145	0.00010216718580744883	0.9968525618456224
PC146	9.769035188967473e-05	0.9969502521975121
PC147	9.351670374651731e-05	0.9970437689012586
PC148	9.185499753578747e-05	0.9971356238987944
PC149	8.798519639374855e-05	0.9972236090951881
PC150	8.61847464927597e-05	0.997309793841681
PC151	8.542793463504645e-05	0.997395221776316
PC152	8.276547371270514e-05	0.9974779872500287
PC153	8.035047228035393e-05	0.9975583377223091
PC154	7.775052438863903e-05	0.9976360882466977
PC155	7.447972417076706e-05	0.9977105679708684
PC156	7.35738849691553e-05	0.9977841418558376
PC157	7.143439118730012e-05	0.9978555762470249
PC158	7.016843328470317e-05	0.9979257446803096
PC159	6.73785571687175e-05	0.9979931232374784
PC160	6.54449469850237e-05	0.9980585681844634
PC161	6.389608552257451e-05	0.998122464269986
PC162	6.244569194337103e-05	0.9981849099619293
PC163	6.145360810009638e-05	0.9982463635700294
PC164	6.113836501024563e-05	0.9983075019350396
PC165	5.922165044703313e-05	0.9983667235854866
PC166	5.7009955693263584e-05	0.9984237335411799
PC167	5.48403276632738e-05	0.9984785738688431
PC168	5.291165641496167e-05	0.9985314855252581
PC169	5.243390663977518e-05	0.9985839194318978
PC170	5.1498165868813294e-05	0.9986354175977666
PC171	5.029208854460632e-05	0.9986857096863112
PC172	4.7940914361508795e-05	0.9987336506006728
PC173	4.679748334771995e-05	0.9987804480840204
PC174	4.5667444045816855e-05	0.9988261155280662
PC175	4.4340086945943e-05	0.9988704556150122
PC176	4.2379093493059806e-05	0.9989128347085052
PC177	4.1904780960152494e-05	0.9989547394894653
PC178	4.028158030960516e-05	0.9989950210697749
PC179	3.895040432786842e-05	0.9990339714741028
PC180	3.7352978174741345e-05	0.9990713244522775
