PC	variance_explained	cumulative_variance
PC78	0.0007241212977509783	0.9817680762747775
PC79	0.0007048732642426554	0.9824729495390201
PC80	0.0006791582201776761	0.9831521077591978
PC81	0.0006274130872123524	0.9837795208464102
PC82	0.000610772628943659	0.9843902934753539
PC83	0.0005797087491291354	0.984970002224483
PC84	0.00057210697963024	0.9855421092041133
PC85	0.000551525801925387	0.9860936350060387
PC86	0.0005091740308159536	0.9866028090368547
PC87	0.0004912195520495084	0.9870940285889043
PC88	0.00047217152640950856	0.9875662001153138
PC89	0.00045803944843629356	0.9880242395637501
PC90	0.00044643531024989497	0.988470674874
PC91	0.00043454589531606466	0.9889052207693161
PC92	0.00042582143917608374	0.9893310422084922
PC93	0.00039980961355686845	0.9897308518220491
PC94	0.00037376160099895813	0.9901046134230481
PC95	0.00036097105371704765	0.9904655844767651
PC96	0.000345613616636222	0.9908111980934013
PC97	0.000333267322497045	0.9911444654158984
PC98	0.00032642423054145075	0.9914708896464398
PC99	0.0003182487442515637	0.9917891383906914
PC100	0.00030358709945618793	0.9920927254901476
PC101	0.00028873477373579523	0.9923814602638834
PC102	0.0002839605157481896	0.9926654207796316
PC103	0.00027955455361414807	0.9929449753332458
PC104	0.00026510615296676814	0.9932100814862126
PC105	0.0002581027397497099	0.9934681842259623
PC106	0.0002504651885212713	0.9937186494144835
PC107	0.00023658551366934413	0.9939552349281529
PC108	0.00022091637908383709	0.9941761513072367
PC109	0.00021277463895899243	0.9943889259461957
PC110	0.0002067207965548603	0.9945956467427505
PC111	0.0002047964669644196	0.994800443209715
PC112	0.0001921703100534035	0.9949926135197683
PC113	0.0001856346414154567	0.9951782481611837
PC114	0.0001808998956325365	0.9953591480568162
PC115	0.0001746291663852539	0.9955337772232015
PC116	0.0001694385653423797	0.9957032157885438
PC117	0.0001656789687975253	0.9958688947573413
PC118	0.00015608202454017075	0.9960249767818815
PC119	0.00014954984074050934	0.9961745266226221
PC120	0.00014551668180245238	0.9963200433044245
PC121	0.00014034108954771052	0.9964603843939722
PC122	0.00013856006256911948	0.9965989444565413
PC123	0.00013254586700585792	0.9967314903235471
PC124	0.00012770961050829612	0.9968591999340555
PC125	0.00012459604795201482	0.9969837959820075
PC126	0.00011795895245146783	0.997101754934459
PC127	0.00011259819241195595	0.9972143531268709
PC128	0.00010498846686203316	0.9973193415937329
PC129	0.00010310273289717619	0.9974224443266301
PC130	0.0001003259737656566	0.9975227703003957
PC131	9.816397961725879e-05	0.997620934280013
PC132	9.574516762330505e-05	0.9977166794476363
PC133	9.366205044897173e-05	0.9978103414980852
PC134	8.838863464885416e-05	0.9978987301327341
PC135	8.71651801346553e-05	0.9979858953128687
PC136	8.232935031605492e-05	0.9980682246631848
PC137	7.914534422132666e-05	0.9981473700074062
PC138	7.61510141300744e-05	0.9982235210215362
PC139	7.364743266578405e-05	0.998297168454202
PC140	7.07496871560357e-05	0.9983679181413581
PC141	6.732591796234226e-05	0.9984352440593204
PC142	6.300024220485582e-05	0.9984982443015252
PC143	6.172506071496018e-05	0.9985599693622402
PC144	5.8258109842814705e-05	0.9986182274720831
PC145	5.617289441880335e-05	0.9986744003665019
PC146	5.5635521407644984e-05	0.9987300358879095
PC147	5.331985254280701e-05	0.9987833557404523
PC148	5.1968153058124187e-05	0.9988353238935104
PC149	4.988765934443441e-05	0.9988852115528548
PC150	4.715661090519212e-05	0.99893236816376
PC151	4.5820074459121044e-05	0.998978188238219
PC152	4.566196230701861e-05	0.9990238502005261
PC153	4.4049301472164064e-05	0.9990678995019983
PC154	4.2126834842566886e-05	0.9991100263368409
PC155	4.012424124560448e-05	0.9991501505780864
PC156	3.820879246391042e-05	0.9991883593705503
PC157	3.6446597922340996e-05	0.9992248059684726
PC158	3.4839341427901735e-05	0.9992596453099005
PC159	3.4021106320893406e-05	0.9992936664162214
PC160	3.2786307634897646e-05	0.9993264527238563
PC161	3.162921002544938e-05	0.9993580819338818
PC162	3.11247345076185e-05	0.9993892066683894
PC163	2.9463389546113586e-05	0.9994186700579355
