aro_id	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue	gene_family	subclass	megares_class
ARO:3003297	552	True	-0.12389366008239691	0.12332073028685187	0.5662196922624687	1.533829814359651e-12	0.6059978166272428	7.942927519997468e-20	-0.23616559631549366	0.03699485350777954	-0.3453482275949891	0.0011171177828462589	0.004593884182893474	0.9656808122647748	0.175223553452161	0.2724070562060702	-0.014656819165475912	0.5180209807875973	gyrA	QUINOLONE	Fluoroquinolones
ARO:3003303	552	True	-0.052532715727872215	0.4284805185446451	0.42543981122172825	1.216761252516994e-10	0.36879737633960313	2.03617963480251e-11	-0.1920914035248086	0.0577919187177068	-0.3682120351182766	9.632385776437581e-05	0.02885518085949653	0.7629376828187238	0.12000263499990435	0.40359179423081315	-0.011159822873350253	0.5832301078869022	gyrB	NALIDIXIC ACID;QUINOLONE;ZOLIFLODACIN	Aminocoumarins
ARO:3003312	552	True	0.46073788231981	1.9843856321025825e-09	1.2298005736226205	4.2281616868582026e-58	0.5234534147993254	2.533020856108922e-16	-0.14621479539226606	0.2601768161776309	-0.2624000575443566	0.029104329184848385	0.05902947572029223	0.6310323820873263	0.07182886750850544	0.6985926466067081	0.01277214103987857	0.6249388032919856	parC	QUINOLONE	Fluoroquinolones
ARO:3003315	552	True	0.17496375373011352	0.008131138306463098	0.7364225505272178	5.264039331727443e-29	0.37323277511371694	1.1242270896517475e-11	-0.16795234947651863	0.1253009709467077	-0.3285264489350622	0.0012571972729168812	0.0801510489526843	0.4400505314297347	0.14626783744226812	0.35011667642601474	-0.008814927680224455	0.6896956256643807	parE	QUINOLONE	Fluoroquinolones
ARO:3003323	552	True	-0.10239031823529351	0.001086480695590939	-0.021131272316998465	0.499094147143885	-0.07189360125444816	0.005576112906694833	-0.05369841366933678	0.22831681081065902	-0.15520451900324203	0.00019748162908102341	-0.006137922560782387	0.8839148556268484	0.0032758145722555816	0.9584715364078552	-0.02601070251836937	0.003572026897317263	pgsA	DAPTOMYCIN	Lipopeptides
ARO:3003373	552	True	0.25402549869687263	6.122338060525389e-11	0.47544807195855143	1.161923915976112e-34	0.27608737657645716	1.4901086468692742e-17	0.012194386500650268	0.860980119291463	-0.03675110122266255	0.5681866480268336	0.08370044603527207	0.20622998505036827	-0.09772054884226548	0.32946981584354573	0.015243405236073293	0.27896964947478475	acrR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE;TIGECYCLINE	Drug and biocide resistance
ARO:3003378	552	True	0.12631138124342026	1.234200095687934e-05	0.26401490626638874	5.271995186788581e-20	0.1367262831130604	1.3367558143124076e-08	0.05476268148252086	0.27784360115723417	-0.006405483134944094	0.8908707835061654	0.07351341455085542	0.12464677880298626	-0.03736031495277247	0.605629796024881	0.012036754306140433	0.23690982079389178	marR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide resistance
ARO:3003380	552	True	0.17870771429254956	2.489882138713845e-07	0.343007909052778	3.0922156072144935e-23	0.21929646669408795	3.0163595335369665e-14	0.021111160850657194	0.7303571746305848	0.011786346640518959	0.8352866030980798	0.03119939967458191	0.5919651534159676	-0.039569923181133615	0.6530623198254613	0.014209156788497582	0.25089756776519656	ramR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE;TIGECYCLINE	Multi-drug resistance
ARO:3003381	552	True	0.29245643890703893	2.3242062533940727e-11	0.5156698055871856	3.181414765982509e-32	0.31780231814839993	2.7621282564874467e-18	0.03946738792663003	0.605092420547364	0.02096876206592926	0.7665214405326655	0.12431714809737401	0.08589581474597661	-0.002885421998978278	0.978958876801136	0.02635407489191505	0.08677013017333633	soxR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide resistance
ARO:3003386	552	True	0.37519853556213534	4.313890136500243e-14	0.7043888924583562	7.160352568475506e-46	0.3454889889329861	7.340062630830886e-17	-0.04666795966216812	0.6006325375318307	-0.10777340111501071	0.19112450450507268	0.10183831255274262	0.22970863548560683	-0.06169109849467182	0.6306575381664145	0.01465247252701887	0.4163477241105016	folP	SULFONAMIDE	Sulfonamides
ARO:3003390	552	True	0.10520462794989265	0.00021850445503559986	0.1857159023750545	6.061071425216514e-11	0.11469397288731172	1.3591493444841512e-06	0.054265758093323894	0.30024972659911064	-0.06040705102326482	0.21174485492094242	0.04835576662021813	0.332407201711701	-0.12070783558316836	0.11024233989365596	-0.003074909120667812	0.7719443463118936	ompF	CEPHALOSPORIN	betalactams
ARO:3003395	552	True	0.3206051624390467	2.904828321085841e-14	0.6855890962766156	8.058332950530823e-60	0.3032186382581223	5.303305065463223e-18	-0.13190722737052796	0.05962663913995052	-0.12259687974138699	0.059251481059423135	0.09977879430014307	0.13198696090211393	0.0870653175059817	0.38329117182236405	0.01666963289808506	0.2363795554998911	rpsL	STREPTOMYCIN	Aminoglycosides
ARO:3003499	552	True	-0.4487134712720707	2.045184606318131e-12	-0.6761943011913107	2.093313168323108e-26	0.3216907227427311	1.1377045142464503e-09	-0.2509784655487186	0.006375046226497877	-0.3690539295354278	1.906246069126833e-05	0.21641502840617502	0.012649728221564063	0.10459967489608668	0.42095673454037885	-0.007430910647068578	0.6868451633873878	tet(O/M/O);tet(O/W);tet(O/W/32/O);tet(O/W/O);tet(W/32/O);tet(W/N/W)	TETRACYCLINE	Tetracyclines
