aro_id	effect	effect_label	coef	se	pvalue	fdr	gene_family	subclass	megares_class
ARO:3003380	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.039569923181133615	0.08802861562984328	0.6530623198254613	0.9686939300525664	ramR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE;TIGECYCLINE	Multi-drug resistance
ARO:3000124	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.01983653746475392	0.04443025562794405	0.6552616593699069	0.9686939300525664	mecI_of_mecA	METHICILLIN	betalactams
ARO:3000149	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.05639420234168835	0.12786189411166213	0.6591727576152	0.9686939300525664	fosA5_fam;fosA_PA1129;fosA_gen;fos_A_A2	FOSFOMYCIN	Fosfomycin
ARO:3000828	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.040809571411734503	0.09786836953383839	0.6766899074811352	0.9686939300525664	baeR	AZTREONAM-AVIBACTAM;CEFIDEROCOL	Drug and biocide and metal resistance
ARO:3003043	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.03551949915702371	0.08906873149559519	0.6900497684308906	0.9686939300525664	pbp2x	BETA-LACTAM	betalactams
ARO:3003893	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04051608779805201	0.1018734534650802	0.690843989737125	0.9686939300525664	uhpA	FOSFOMYCIN	Fosfomycin
ARO:3002869	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.022512066476933688	0.057977517872248974	0.6978017422305969	0.9686939300525664	dfrK	TRIMETHOPRIM	Trimethoprim
ARO:3003312	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.07182886750850544	0.1854984053045599	0.6985926466067081	0.9686939300525664	parC	QUINOLONE	Fluoroquinolones
ARO:3003966	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04047996140159457	0.10856077399465812	0.7092389920919981	0.9686939300525664	ompK35	CARBAPENEM	betalactams
ARO:3000186	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.07258326639418702	0.19514189508702376	0.7099291668429201	0.9686939300525664	tet(M)	TETRACYCLINE	Tetracyclines
ARO:3000830	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.04860737724117653	0.1327561338161308	0.7142603502329379	0.9686939300525664	cpxA	CEFTIBUTEN-AVIBACTAM	Drug and biocide resistance
ARO:3003899	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.04833025818151574	0.13376616671498695	0.7178721642575161	0.9686939300525664	ptsI	FOSFOMYCIN	Fosfomycin
ARO:3003092	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03764986789054791	0.10564822518997126	0.7215634230553758	0.9686939300525664	cls	DAPTOMYCIN	Lipopeptides
ARO:3003900	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.056352624909991024	0.1591201899871374	0.7232254852619265	0.9686939300525664	cyaA	FOSMIDOMYCIN	
ARO:3003890	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.05032508627795517	0.1442777469742328	0.7272342172747391	0.9686939300525664	uhpT	FOSFOMYCIN	Fosfomycin
ARO:3003922	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.07171612800325967	0.20643707479560783	0.7282912400768076	0.9686939300525664	oqxA	PHENICOL/QUINOLONE	Drug and biocide resistance;Multi-drug resistance
ARO:3004049	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.034628193178107274	0.1018309044434223	0.7338144808748479	0.9686939300525664	fabG	TRICLOSAN	Phenolic compound resistance
ARO:3006268	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.024966937076456877	0.07549594373903995	0.7408668148332014	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3007752	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.050515048527261804	0.15398285685501967	0.7428690836412577	0.9686939300525664	gyrB	QUINOLONE	Fluoroquinolones
ARO:3003209	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.024482130936558034	0.07584852985053189	0.7468644321868863	0.9686939300525664	fosA5_fam	FOSFOMYCIN	Fosfomycin
ARO:3006235	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.022875057781942713	0.07474156001200186	0.7595624678107493	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3006239	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.02281383797509754	0.07523395527390601	0.7617080475627018	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3000829	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03777175716588169	0.15255125976410586	0.8044435797615254	0.9945208180088192	baeS	AZTREONAM/AZTREONAM-AVIBACTAM;AZTREONAM/TEMOCILLIN/TICARCILLIN;CEFIDEROCOL;TEMOCILLIN	Drug and biocide and metal resistance
ARO:3003923	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.06215384512554809	0.27471760811636636	0.8210098540844261	0.9945208180088192	oqxB	PHENICOL/QUINOLONE	Drug and biocide resistance;Multi-drug resistance
ARO:3003751	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.018137328372946626	0.08914941877773958	0.8387843822354304	0.9945208180088192	nfsA	NITROFURANTOIN	Chromium resistance
ARO:3003896	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.02431234443820684	0.1246524544605768	0.8453608187414585	0.9945208180088192	phoQ	COLISTIN	Lipopeptides
ARO:3004956	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.01130817253100367	0.06215413487472385	0.8556317165570357	0.9945208180088192	rplD	AZITHROMYCIN;AZITHROMYCIN/CHLORAMPHENICOL/CLARITHROMYCIN/ERYTHROMYCIN/LINEZOLID	MLS
ARO:3003756	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.01466558719040904	0.08115729724860477	0.8565985750065475	0.9945208180088192	nfsB	NITROFURANTOIN	
ARO:3000216	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03514886716721644	0.23190989928949776	0.8795319338846372	0.9945208180088192	acrB	AZITHROMYCIN;AZITHROMYCIN/CLARITHROMYCIN/ERYTHROMYCIN;CEFTIBUTEN-AVIBACTAM;CEPHALOSPORIN	Drug and biocide resistance
ARO:3002703	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0152306057333631	0.10126188316039637	0.8804426644560608	0.9945208180088192	cmx	CHLORAMPHENICOL	Phenicol
ARO:3006251	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.010056676232039744	0.07437457517808575	0.8924406328241299	0.9945208180088192	blaACT	CEPHALOSPORIN	betalactams
ARO:3003585	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.01325221162871671	0.09999646930623292	0.8945676302763843	0.9945208180088192	phoP	COLISTIN	Drug and biocide resistance
ARO:3006238	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.009264030726182556	0.07320724966561976	0.8993003216160325	0.9945208180088192	blaACT	CEPHALOSPORIN	betalactams
ARO:3002872	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.002780755128706174	0.022679916725146104	0.9024169640249347	0.9945208180088192	fos_A3_A4	FOSFOMYCIN	Fosfomycin
ARO:3003210	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0025118973003159135	0.02200061522809396	0.9090998960723946	0.9945208180088192	fos_A3_A4	FOSFOMYCIN	Fosfomycin
ARO:3003968	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.013033785754574539	0.12330393703673807	0.915816779359492	0.9945208180088192	ompK36	CARBAPENEM	betalactams
ARO:3006265	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0073561856800607485	0.07308101010034379	0.91982198173632	0.9945208180088192	blaACT	CEPHALOSPORIN	betalactams
ARO:3003511	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.008233356549853773	0.10602928913287281	0.9381051008507412	0.9945208180088192	soxS	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide and metal resistance
ARO:3003042	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.005928850271613362	0.08382143714852232	0.9436111246535922	0.9945208180088192	pbp2b	BETA-LACTAM	betalactams
ARO:3004111	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.004750380679679391	0.07611786505796779	0.950237746898901	0.9945208180088192	fosA5_fam	FOSFOMYCIN	Fosfomycin
ARO:3003323	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0032758145722555816	0.06290965174590289	0.9584715364078552	0.9945208180088192	pgsA	DAPTOMYCIN	Lipopeptides
ARO:3006237	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0033944398136058086	0.07204888397737594	0.9624231581253607	0.9945208180088192	blaACT	CEPHALOSPORIN	betalactams
ARO:3000521	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.005019977883553201	0.1321562154518072	0.9696994966304173	0.9945208180088192	mupA	MUPIROCIN	Mupirocin
ARO:3003381	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.002885421998978278	0.10940322745932264	0.978958876801136	0.9945208180088192	soxR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide resistance
ARO:3003901	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0011676011353895961	0.10224444993712326	0.9908885942310564	0.9945208180088192	glpT	FOSFOMYCIN	Fosfomycin
ARO:3000516	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0008673739151606028	0.09221838696601278	0.9924954873513013	0.9945208180088192	emrR	NITROXOLINE	Drug and biocide resistance
