Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(SampleType)[T.Stool]:C(PICC)[T.PICC_Neck],-0.09023354664394069,0.09365264203065664,0.3358632399972068,False,Interaction,SampleType,PICC
C(SampleType)[T.Groin]:C(SampleCollectionWeek)[T.Week.3],0.02308153843351795,0.0242171160964235,0.3410912522739925,False,Interaction,SampleType,SampleCollectionWeek
C(SampleType)[T.Groin]:C(PICC)[T.PICC_Neck],-0.08965990568156268,0.09703125300754294,0.3560083159495402,False,Interaction,SampleType,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(AnyMilk)[T.Mother],0.058787129121879056,0.06382072811539324,0.3575194766903165,False,Interaction,PostNatalAbxCohort,AnyMilk
C(GestationCohort)[T.28-32 Weeks]:C(UVC)[T.UVC],-0.08411677826752563,0.09512276513415524,0.37704915237286885,False,Interaction,GestationCohort,UVC
C(PICC)[T.PICC_UE],-0.15260169417777575,0.17600477861147026,0.3864269678107308,False,Main,,
C(SampleType)[T.Groin]:C(PICC)[T.PICC_UE],0.03162354438675589,0.037098599265129754,0.39447452398782923,False,Interaction,SampleType,PICC
C(Location)[T.Hangzhou],0.13879770683144074,0.1658405364572405,0.40311209238622525,False,Main,,
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.28-32 Weeks],0.035241783235939544,0.04300322915286854,0.4129642831194478,False,Interaction,SampleCollectionWeek,GestationCohort
C(GestationCohort)[T.33-36 Weeks]:C(UVC)[T.UVC],0.10881040307736203,0.13382757542085216,0.41664860791383274,False,Interaction,GestationCohort,UVC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.PICC_LE],0.054001785242152794,0.06720505917948416,0.42212523790675827,False,Interaction,PostNatalAbxCohort,PICC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.axillary],0.08489822808085365,0.11023284483287292,0.4416372396515553,False,Interaction,PostNatalAbxCohort,PICC
C(GestationCohort)[T.28-32 Weeks]:C(AnyMilk)[T.Mother],-0.06523393193946919,0.0849067144347383,0.44274627213967865,False,Interaction,GestationCohort,AnyMilk
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_UE],0.0464280315654509,0.06075368930979769,0.44518278369736397,False,Interaction,PostNatalAbxCohort,PICC
C(UVC)[T.UVC]:C(Delivery)[T.Vaginal],-0.09313207712215306,0.12415702179523447,0.45361135946067255,False,Interaction,UVC,Delivery
C(Location)[T.Hangzhou]:C(AnyMilk)[T.No.Milk],0.07909202591470735,0.1065387276027174,0.4582792270676239,False,Interaction,Location,AnyMilk
