sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N08_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.9925	1	1
N08_2_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.6667	1	1
N08_2_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.6667	1	1
N09_1_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.4091	2	1
N09_1_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.4091	2	1
N09_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N09_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N09_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	1.0024	2	1
N09_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0024	2	1
N09_2_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N09_2_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N10_1_3	Klebsiella_oxytoca	UCMC	Groin	parC	0.0048	1	1
N10_1_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	0.0082	1	1
N10_1_3	Staphylococcus_aureus	UCMC	Groin	parE	1.0	1	1
N10_1_4	Escherichia_coli	UCMC	Stool	parE	0.0111	1	1
N10_1_4	Escherichia_coli	ZCH	Stool	parE	0.0111	1	1
N10_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.0075	1	1
N10_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.0075	1	1
N10_1_4	Staphylococcus_aureus	UCMC	Stool	gyrA,parC,parE	1.0349000000000002	4	3
N10_1_4	Staphylococcus_aureus	ZCH	Stool	gyrA,parC,parE	1.0349000000000002	4	3
N10_2_2	Staphylococcus_aureus	UCMC	Axilla	parC,parE	1.3636	2	2
N10_2_2	Staphylococcus_aureus	ZCH	Axilla	parC,parE	1.3636	2	2
N10_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N10_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N10_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N10_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N10_2_3	Klebsiella_oxytoca	UCMC	Groin	parC	0.0078	1	1
N10_2_3	Klebsiella_oxytoca	ZCH	Groin	parC	0.0078	1	1
N10_2_3	Staphylococcus_aureus	UCMC	Groin	parC,parE	1.3477999999999999	2	2
N10_2_3	Staphylococcus_aureus	ZCH	Groin	parC,parE	1.3477999999999999	2	2
N10_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N10_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N10_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N10_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
