Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-5.144664824276896,2.761006175482756,-1.8633297056560776,0.062415893232390746,False,-10.556137489315773,0.26680784076198183,PC5
C(PostNatalAbxCohort)[T.No.Infant.Abx],-3.4669691357770045,2.634801572512978,-1.3158369009436772,0.1882287909346967,False,-8.63108532431194,1.6971470527579315,PC5
C(BSI_30D)[T.BSI ],-0.06699911349023721,10.152428784790526,-0.00659931873549405,0.9947345436884814,False,-19.965393887287416,19.831395660306942,PC5
C(BSI_30D)[T.BSI and No.BSI],6.211277012987034,9.652309055064315,0.6435016717298477,0.5198986303677814,False,-12.706901102588866,25.12945512856293,PC5
C(BSI_30D)[T.No.BSI],-3.2757011239542155,3.16047017840501,-1.0364600641817665,0.29998756129678794,False,-9.470108847840915,2.9187065999324835,PC5
C(BSI_30D)[T.No.BSI ],-5.638911891251376,11.409237326358483,-0.49424091461608355,0.6211360476372807,False,-28.00060614198406,16.72278235948131,PC5
C(BSI_30D)[T.No.BSI  ],-2.8000502835107572,13.056942095538254,-0.2144491614516369,0.8301968079603784,False,-28.391186538990677,22.791085971969164,PC5
C(BSI_30D)[T.PICC],0.7636751725327099,7.522519361492443,0.10151853864836038,0.9191388418704276,False,-13.980191848997723,15.507542194063141,PC5
C(NEC_30D)[T.No.NEC],-7.730855553537457,4.96515228716474,-1.5570228477225663,0.11946506095516268,False,-17.462375214137023,2.00066410706211,PC5
C(AnyMilk)[T.Mother],-4.582239314755367,3.12142084824408,-1.4679979206690614,0.14210478772264765,False,-10.700111757906228,1.535633128395495,PC5
C(AnyMilk)[T.No.Milk],-3.357102355925878,4.271093751392749,-0.7860053071490575,0.43186437794449883,False,-11.728292283249738,5.014087571397981,PC5
C(PICC)[T.PICC_LE],-3.8235302581191504,2.840242719328672,-1.3461984189234681,0.17823853484545493,False,-9.390303695355453,1.7432431791171523,PC5
C(PICC)[T.PICC_Neck],-0.9744808165651896,6.958646446139716,-0.14003884578814596,0.8886292982791908,False,-14.613177232146676,12.664215599016295,PC5
C(PICC)[T.PICC_UE],-7.406640388060525,2.4049263854186953,-3.079778421895869,0.002071546477322177,True,-12.12020948895126,-2.69307128716979,PC5
C(PICC)[T.axillary],-8.629375240957279,5.834533545584566,-1.4790171611041265,0.13913572829484427,False,-20.064850856893813,2.8061003749792572,PC5
C(PICC)[T.peripheral_UE],-7.483154997331635,5.189439068703324,-1.4419968898876458,0.1493032509943932,False,-17.65426867195523,2.6879586772919595,PC5
C(UVC)[T.UVC],-4.578034956236227,2.8324134107863372,-1.6163018219029222,0.10602907312307823,False,-10.129463230705701,0.9733933182332475,PC5
C(Delivery)[T.Vaginal],-1.519698357093833,2.6226137757536345,-0.5794594580199413,0.5622791947553832,False,-6.659926902929562,3.6205301887418964,PC5
Group Var,0.03329409163308319,0.025582041671407648,1.3014634273813683,0.19309987517601912,False,-0.01684578869387865,0.08343397196004503,PC5
